Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-04 20:00:00,1039.1hPa,6.7celsius,,,38.3%,13.3%,26.6%,6.2%,5.2celsius,0.0%,0.0mm,89.1%,0.01,259.7degrees,2.9m/s
2020-11-04 21:00:00,1039.7hPa,6.3celsius,,,26.6%,0.0%,10.2%,19.5%,4.9celsius,0.0%,0.0mm,89.8%,0.01,257.7degrees,2.8m/s
2020-11-04 22:00:00,1040.2hPa,6.0celsius,,,41.4%,0.0%,3.1%,39.8%,4.7celsius,0.0%,0.0mm,90.7%,0.01,256.1degrees,2.9m/s
2020-11-04 23:00:00,1040.1hPa,6.1celsius,,,82.8%,0.0%,0.0%,82.8%,4.7celsius,0.0%,0.0mm,90.5%,0.01,253.5degrees,3.3m/s
2020-11-05 00:00:00,1040.0hPa,6.7celsius,,,95.3%,0.0%,0.0%,95.3%,5.0celsius,0.0%,0.0mm,87.6%,0.01,254.5degrees,3.5m/s
2020-11-05 01:00:00,1039.7hPa,6.8celsius,,,70.3%,0.0%,0.0%,70.3%,4.9celsius,0.0%,0.0mm,86.4%,0.01,255.8degrees,3.7m/s
2020-11-05 02:00:00,1039.6hPa,6.7celsius,,,93.0%,0.0%,0.0%,92.2%,4.7celsius,0.0%,0.0mm,86.2%,0.01,257.6degrees,3.7m/s
2020-11-05 03:00:00,1039.2hPa,6.4celsius,,,0.8%,0.0%,0.0%,0.8%,4.4celsius,0.0%,0.0mm,86.7%,0.01,256.6degrees,4.0m/s
2020-11-05 04:00:00,1039.1hPa,6.0celsius,,,14.8%,0.0%,0.0%,14.8%,4.1celsius,0.0%,0.0mm,87.7%,0.01,261.7degrees,4.2m/s
2020-11-05 05:00:00,1039.0hPa,5.9celsius,,,8.6%,0.0%,0.8%,8.6%,3.9celsius,0.0%,0.0mm,86.8%,0.01,261.5degrees,4.2m/s
2020-11-05 06:00:00,1038.8hPa,5.8celsius,,,20.3%,0.0%,2.3%,19.5%,3.7celsius,0.0%,0.0mm,86.2%,0.01,263.9degrees,4.2m/s
2020-11-05 07:00:00,1038.7hPa,5.7celsius,,,64.8%,0.0%,3.1%,64.8%,3.6celsius,0.0%,0.0mm,86.3%,0.01,263.4degrees,4.2m/s
2020-11-05 08:00:00,1038.8hPa,5.9celsius,,,6.2%,0.0%,6.2%,0.0%,3.6celsius,0.0%,0.0mm,85.6%,0.11,261.6degrees,4.3m/s
2020-11-05 09:00:00,1038.8hPa,6.8celsius,,,10.9%,0.0%,10.9%,1.6%,4.3celsius,0.0%,0.0mm,83.6%,0.31,260.8degrees,4.3m/s
2020-11-05 10:00:00,1039.1hPa,8.3celsius,,,36.7%,0.0%,34.4%,18.8%,5.2celsius,0.0%,0.0mm,80.5%,0.61,262.3degrees,3.8m/s
2020-11-05 11:00:00,1039.2hPa,9.3celsius,,,68.8%,0.0%,53.9%,57.8%,6.0celsius,0.0%,0.0mm,80.0%,0.91,260.3degrees,3.4m/s
2020-11-05 12:00:00,1039.0hPa,10.0celsius,,,96.9%,0.0%,63.3%,93.0%,6.5celsius,0.0%,0.0mm,79.8%,1.01,265.0degrees,3.2m/s
2020-11-05 13:00:00,1038.6hPa,10.1celsius,,,100.0%,0.0%,57.8%,99.2%,6.7celsius,0.0%,0.0mm,80.5%,0.91,268.0degrees,2.9m/s
2020-11-05 14:00:00,1038.2hPa,10.4celsius,,,94.5%,0.0%,73.4%,93.8%,7.0celsius,0.0%,0.0mm,80.1%,0.61,263.5degrees,2.6m/s
2020-11-05 15:00:00,1037.6hPa,10.4celsius,,,95.3%,0.0%,41.4%,93.8%,7.1celsius,0.0%,0.0mm,80.9%,0.31,264.3degrees,2.4m/s
2020-11-05 16:00:00,1037.0hPa,10.0celsius,,,93.8%,0.0%,6.2%,93.8%,7.4celsius,0.0%,0.0mm,84.9%,0.11,275.3degrees,1.9m/s
2020-11-05 17:00:00,1036.6hPa,9.0celsius,,,51.6%,0.0%,0.8%,51.6%,7.1celsius,0.0%,0.0mm,88.1%,0.01,290.0degrees,1.7m/s
2020-11-05 18:00:00,1036.3hPa,7.9celsius,,,41.4%,0.0%,0.0%,41.4%,6.5celsius,0.0%,0.0mm,90.9%,0.01,284.8degrees,1.3m/s
2020-11-05 19:00:00,1036.0hPa,7.1celsius,,,21.1%,0.0%,0.0%,21.1%,6.1celsius,0.0%,0.0mm,93.3%,0.01,256.9degrees,1.1m/s
2020-11-05 20:00:00,1035.7hPa,6.4celsius,,,11.7%,0.0%,0.8%,11.7%,5.7celsius,0.0%,0.0mm,94.6%,0.01,230.8degrees,0.9m/s
2020-11-05 21:00:00,1035.3hPa,5.6celsius,,,6.2%,0.0%,2.3%,5.5%,5.2celsius,0.0%,0.0mm,96.5%,0.01,244.0degrees,1.0m/s
2020-11-05 22:00:00,1034.9hPa,5.5celsius,,,4.7%,0.0%,3.9%,1.6%,5.0celsius,0.0%,0.0mm,96.7%,0.01,233.4degrees,0.7m/s
2020-11-05 23:00:00,1034.5hPa,5.4celsius,,,10.2%,0.0%,10.2%,2.3%,5.1celsius,3.9%,0.0mm,97.6%,0.01,222.2degrees,0.7m/s
2020-11-06 00:00:00,1034.0hPa,6.6celsius,,,18.8%,0.0%,18.8%,0.8%,5.8celsius,8.6%,0.0mm,94.6%,0.01,220.0degrees,0.5m/s
2020-11-06 01:00:00,1033.5hPa,6.9celsius,,,46.9%,0.0%,46.9%,1.6%,6.0celsius,15.6%,0.0mm,93.7%,0.01,144.4degrees,0.6m/s
2020-11-06 02:00:00,1033.0hPa,7.4celsius,,,85.2%,0.0%,85.2%,2.3%,6.4celsius,15.6%,0.0mm,93.5%,0.01,165.0degrees,1.0m/s
2020-11-06 03:00:00,1032.2hPa,7.7celsius,,,93.0%,0.0%,93.0%,5.5%,6.7celsius,15.6%,0.0mm,93.0%,0.01,52.6degrees,1.0m/s
2020-11-06 04:00:00,1031.4hPa,8.2celsius,,,99.2%,0.0%,99.2%,3.9%,6.9celsius,15.6%,0.0mm,91.6%,0.01,104.8degrees,1.0m/s
2020-11-06 05:00:00,1030.7hPa,7.3celsius,,,96.9%,0.0%,96.9%,0.8%,6.6celsius,15.6%,0.0mm,94.7%,0.01,122.6degrees,2.0m/s
2020-11-06 06:00:00,1030.2hPa,8.7celsius,,,96.1%,0.0%,95.3%,4.7%,7.3celsius,0.0%,0.0mm,91.2%,0.01,122.2degrees,2.0m/s
2020-11-06 07:00:00,1029.6hPa,9.0celsius,,,95.3%,0.0%,95.3%,3.9%,7.4celsius,0.0%,0.0mm,90.1%,0.01,118.3degrees,2.7m/s
2020-11-06 08:00:00,1029.3hPa,9.2celsius,,,92.2%,0.0%,91.4%,4.7%,7.6celsius,0.0%,0.0mm,90.3%,0.11,124.2degrees,3.1m/s
2020-11-06 09:00:00,1028.8hPa,10.1celsius,,,97.7%,0.0%,97.7%,10.2%,8.1celsius,0.0%,0.0mm,88.0%,0.31,129.2degrees,3.3m/s
2020-11-06 10:00:00,1028.1hPa,10.6celsius,,,97.7%,0.0%,97.7%,3.9%,7.9celsius,0.0%,0.0mm,84.0%,0.51,128.9degrees,3.8m/s
2020-11-06 11:00:00,1027.7hPa,10.7celsius,,,88.3%,0.0%,87.5%,7.8%,7.1celsius,0.0%,0.0mm,78.9%,0.81,128.8degrees,4.4m/s
2020-11-06 12:00:00,1026.9hPa,10.5celsius,,,84.4%,0.0%,82.8%,10.2%,6.9celsius,0.0%,0.0mm,78.6%,0.91,127.6degrees,4.0m/s
2020-11-06 13:00:00,1025.8hPa,10.5celsius,,,93.0%,0.0%,89.8%,38.3%,6.7celsius,0.0%,0.0mm,77.9%,0.81,124.8degrees,3.8m/s
2020-11-06 14:00:00,1025.0hPa,10.2celsius,,,84.4%,14.1%,75.8%,38.3%,6.6celsius,0.0%,0.0mm,79.0%,0.61,126.2degrees,4.0m/s
