Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-04 20:00:00,1039.3hPa,6.6celsius,,,38.3%,13.3%,26.6%,4.7%,5.4celsius,0.0%,0.0mm,92.5%,0.01,232.2degrees,2.4m/s
2020-11-04 21:00:00,1039.9hPa,6.1celsius,,,28.9%,0.0%,14.8%,18.8%,5.2celsius,0.0%,0.0mm,94.2%,0.01,224.9degrees,2.3m/s
2020-11-04 22:00:00,1040.4hPa,6.0celsius,,,43.0%,2.3%,9.4%,36.7%,5.1celsius,0.0%,0.0mm,94.2%,0.01,224.7degrees,2.4m/s
2020-11-04 23:00:00,1040.4hPa,6.0celsius,,,65.6%,0.0%,8.6%,62.5%,5.1celsius,0.0%,0.0mm,94.2%,0.01,222.4degrees,2.6m/s
2020-11-05 00:00:00,1040.3hPa,6.4celsius,,,89.8%,0.0%,3.9%,89.1%,5.2celsius,0.0%,0.0mm,92.3%,0.01,229.3degrees,2.9m/s
2020-11-05 01:00:00,1040.0hPa,6.6celsius,,,76.6%,0.0%,1.6%,76.6%,5.0celsius,0.0%,0.0mm,90.0%,0.01,235.3degrees,3.1m/s
2020-11-05 02:00:00,1039.9hPa,6.4celsius,,,3.1%,0.0%,0.8%,2.3%,4.9celsius,0.0%,0.0mm,90.4%,0.01,234.2degrees,3.1m/s
2020-11-05 03:00:00,1039.5hPa,5.9celsius,,,1.6%,0.0%,0.0%,0.8%,4.6celsius,0.0%,0.0mm,92.4%,0.01,231.0degrees,3.2m/s
2020-11-05 04:00:00,1039.4hPa,5.5celsius,,,14.1%,0.0%,0.8%,13.3%,4.3celsius,0.0%,0.0mm,92.3%,0.01,237.1degrees,3.3m/s
2020-11-05 05:00:00,1039.4hPa,5.6celsius,,,20.3%,0.0%,3.9%,18.8%,4.1celsius,0.0%,0.0mm,90.9%,0.01,234.1degrees,3.1m/s
2020-11-05 06:00:00,1039.1hPa,5.6celsius,,,5.5%,0.0%,4.7%,1.6%,3.9celsius,0.0%,0.0mm,89.4%,0.01,233.9degrees,3.1m/s
2020-11-05 07:00:00,1039.1hPa,5.5celsius,,,12.5%,0.0%,7.0%,7.8%,3.8celsius,0.0%,0.0mm,89.5%,0.01,233.8degrees,3.2m/s
2020-11-05 08:00:00,1039.2hPa,5.8celsius,,,4.7%,0.0%,4.7%,0.0%,4.1celsius,0.0%,0.0mm,89.5%,0.11,231.9degrees,3.3m/s
2020-11-05 09:00:00,1039.1hPa,7.0celsius,,,10.2%,0.0%,10.2%,0.0%,4.8celsius,0.0%,0.0mm,85.8%,0.31,233.5degrees,3.5m/s
2020-11-05 10:00:00,1039.3hPa,8.5celsius,,,36.7%,0.0%,35.9%,3.9%,5.5celsius,0.0%,0.0mm,81.9%,0.61,240.9degrees,3.2m/s
