Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-01 23:00:00,985.7hPa,11.9celsius,,,100.0%,2.3%,100.0%,100.0%,9.3celsius,0.0%,0.6mm,83.2%,0.01,295.6degrees,6.4m/s
2020-11-02 00:00:00,986.1hPa,11.0celsius,,,100.0%,0.0%,100.0%,100.0%,8.7celsius,0.0%,0.7mm,86.0%,0.01,309.7degrees,5.3m/s
2020-11-02 01:00:00,986.9hPa,11.2celsius,,,100.0%,49.2%,100.0%,100.0%,8.2celsius,0.0%,1.3mm,81.6%,0.01,282.6degrees,6.8m/s
2020-11-02 02:00:00,987.5hPa,10.9celsius,,,100.0%,61.7%,100.0%,100.0%,8.0celsius,0.0%,0.7mm,82.5%,0.01,279.2degrees,7.5m/s
2020-11-02 03:00:00,988.5hPa,10.3celsius,,,98.4%,69.5%,96.1%,96.9%,7.2celsius,0.0%,0.0mm,82.0%,0.01,269.6degrees,8.4m/s
2020-11-02 04:00:00,989.6hPa,10.0celsius,,,74.2%,54.7%,32.8%,44.5%,6.6celsius,0.0%,0.0mm,80.0%,0.01,267.3degrees,9.1m/s
2020-11-02 05:00:00,990.9hPa,10.2celsius,,,53.1%,0.0%,24.2%,50.0%,7.0celsius,0.0%,0.0mm,81.4%,0.01,256.0degrees,9.8m/s
2020-11-02 06:00:00,991.8hPa,10.3celsius,,,60.9%,0.0%,35.9%,54.7%,7.1celsius,0.0%,0.0mm,81.1%,0.01,249.5degrees,10.6m/s
2020-11-02 07:00:00,992.8hPa,10.4celsius,,,50.0%,0.0%,14.1%,46.9%,7.1celsius,0.0%,0.0mm,80.5%,0.01,241.1degrees,10.3m/s
2020-11-02 08:00:00,993.9hPa,10.6celsius,,,25.0%,0.0%,11.7%,18.8%,6.6celsius,0.0%,0.1mm,76.9%,0.11,231.9degrees,10.2m/s
2020-11-02 09:00:00,994.3hPa,10.5celsius,,,28.9%,0.0%,25.0%,8.6%,6.7celsius,0.0%,0.1mm,77.6%,0.31,217.1degrees,10.1m/s
2020-11-02 10:00:00,994.6hPa,10.6celsius,,,50.0%,0.0%,40.6%,28.9%,6.7celsius,0.0%,0.0mm,77.5%,0.61,220.2degrees,10.8m/s
2020-11-02 11:00:00,995.2hPa,10.7celsius,,,69.5%,0.0%,18.8%,68.0%,7.0celsius,0.0%,0.3mm,78.2%,0.91,232.7degrees,10.9m/s
2020-11-02 12:00:00,996.0hPa,11.0celsius,,,43.8%,5.5%,32.0%,27.3%,7.3celsius,0.0%,0.2mm,78.7%,1.01,254.1degrees,13.0m/s
2020-11-02 13:00:00,997.2hPa,11.0celsius,,,29.7%,6.2%,19.5%,21.1%,7.2celsius,0.0%,0.0mm,77.7%,0.81,261.4degrees,12.1m/s
2020-11-02 14:00:00,998.7hPa,10.7celsius,,,70.3%,25.0%,14.8%,63.3%,6.2celsius,0.0%,0.0mm,74.2%,0.61,256.2degrees,11.6m/s
2020-11-02 15:00:00,1000.0hPa,10.5celsius,,,96.1%,18.0%,25.0%,95.3%,6.3celsius,0.0%,0.5mm,75.6%,0.31,257.5degrees,12.2m/s
2020-11-02 16:00:00,1001.4hPa,9.6celsius,,,99.2%,85.2%,84.4%,96.9%,6.0celsius,0.0%,0.1mm,78.7%,0.11,255.8degrees,14.2m/s
2020-11-02 17:00:00,1003.1hPa,8.8celsius,,,100.0%,97.7%,39.8%,100.0%,6.3celsius,0.0%,0.3mm,84.4%,0.01,261.7degrees,14.8m/s
2020-11-02 18:00:00,1005.2hPa,8.7celsius,,,93.0%,85.9%,9.4%,80.5%,5.6celsius,0.0%,0.1mm,80.9%,0.01,264.6degrees,13.8m/s
2020-11-02 19:00:00,1007.0hPa,8.7celsius,,,96.9%,95.3%,14.8%,85.9%,5.2celsius,0.0%,0.0mm,77.8%,0.01,259.3degrees,13.7m/s
2020-11-02 20:00:00,1008.2hPa,8.8celsius,,,3.9%,0.0%,3.9%,0.0%,4.9celsius,0.0%,0.0mm,75.5%,0.01,254.7degrees,12.0m/s
2020-11-02 21:00:00,1009.2hPa,8.7celsius,,,10.2%,4.7%,4.7%,0.0%,4.6celsius,0.0%,0.0mm,75.0%,0.01,254.0degrees,10.7m/s
2020-11-02 22:00:00,1009.8hPa,8.9celsius,,,15.6%,2.3%,5.5%,7.8%,4.0celsius,0.0%,0.0mm,71.2%,0.01,242.1degrees,9.6m/s
2020-11-02 23:00:00,1010.1hPa,9.0celsius,,,31.2%,23.4%,0.8%,23.4%,3.2celsius,0.0%,0.0mm,67.5%,0.01,231.0degrees,8.8m/s
2020-11-03 00:00:00,1010.3hPa,9.0celsius,,,25.8%,25.0%,1.6%,0.0%,3.0celsius,0.0%,0.0mm,66.3%,0.01,220.1degrees,8.7m/s
2020-11-03 01:00:00,1010.2hPa,8.9celsius,,,0.8%,0.0%,0.8%,0.0%,3.0celsius,0.0%,0.0mm,66.8%,0.01,219.3degrees,8.8m/s
2020-11-03 02:00:00,1010.0hPa,8.8celsius,,,2.3%,1.6%,0.8%,0.0%,3.2celsius,0.0%,0.0mm,67.9%,0.01,217.0degrees,9.6m/s
2020-11-03 03:00:00,1009.8hPa,8.8celsius,,,67.2%,49.2%,33.6%,39.8%,3.4celsius,0.0%,0.2mm,69.3%,0.01,220.5degrees,10.0m/s
2020-11-03 04:00:00,1010.0hPa,8.5celsius,,,74.2%,57.0%,36.7%,33.6%,4.1celsius,0.0%,0.2mm,73.6%,0.01,235.8degrees,11.7m/s
2020-11-03 05:00:00,1010.6hPa,8.5celsius,,,52.3%,8.6%,35.2%,36.7%,4.7celsius,0.0%,0.1mm,76.3%,0.01,257.1degrees,11.6m/s
2020-11-03 06:00:00,1011.4hPa,8.6celsius,,,33.6%,0.0%,27.3%,17.2%,4.8celsius,0.0%,0.2mm,76.3%,0.01,276.8degrees,12.0m/s
2020-11-03 07:00:00,1012.3hPa,8.5celsius,,,29.7%,0.0%,24.2%,12.5%,5.0celsius,0.0%,0.1mm,78.1%,0.01,276.1degrees,11.9m/s
2020-11-03 08:00:00,1013.6hPa,8.4celsius,,,21.1%,0.0%,15.6%,12.5%,5.5celsius,0.0%,0.2mm,81.6%,0.11,278.1degrees,11.7m/s
2020-11-03 09:00:00,1014.9hPa,8.5celsius,,,21.9%,6.2%,14.1%,10.2%,5.4celsius,0.0%,0.1mm,80.1%,0.31,281.0degrees,11.4m/s
2020-11-03 10:00:00,1016.0hPa,8.6celsius,,,15.6%,2.3%,13.3%,1.6%,5.5celsius,0.0%,0.0mm,80.2%,0.51,274.7degrees,10.2m/s
2020-11-03 11:00:00,1016.9hPa,8.9celsius,,,10.9%,0.0%,10.9%,0.0%,5.4celsius,0.0%,0.0mm,78.4%,0.81,264.6degrees,9.4m/s
2020-11-03 12:00:00,1017.4hPa,9.3celsius,,,8.6%,0.0%,8.6%,0.8%,4.9celsius,0.0%,0.0mm,73.7%,0.81,264.9degrees,9.6m/s
2020-11-03 13:00:00,1017.6hPa,9.6celsius,,,15.6%,0.0%,14.8%,5.5%,4.4celsius,0.0%,0.0mm,70.1%,0.81,266.1degrees,9.0m/s
2020-11-03 14:00:00,1018.2hPa,9.8celsius,,,24.2%,0.0%,21.9%,18.0%,3.8celsius,0.0%,0.0mm,67.0%,0.51,268.3degrees,8.6m/s
2020-11-03 15:00:00,1018.8hPa,9.9celsius,,,35.2%,0.0%,15.6%,29.7%,3.5celsius,0.0%,0.0mm,65.3%,0.31,273.9degrees,8.4m/s
