Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-01 23:00:00,986.0hPa,9.9celsius,,,100.0%,2.3%,99.2%,98.4%,8.8celsius,0.0%,0.4mm,93.5%,0.01,263.6degrees,2.9m/s
2020-11-02 00:00:00,986.6hPa,9.7celsius,,,100.0%,0.0%,100.0%,100.0%,8.5celsius,0.0%,0.5mm,92.5%,0.01,255.2degrees,4.0m/s
2020-11-02 01:00:00,987.4hPa,9.0celsius,,,100.0%,3.9%,100.0%,100.0%,7.7celsius,0.0%,0.3mm,92.0%,0.01,255.8degrees,4.1m/s
2020-11-02 02:00:00,988.2hPa,8.3celsius,,,100.0%,10.9%,98.4%,100.0%,6.0celsius,0.0%,0.0mm,85.4%,0.01,254.6degrees,5.3m/s
2020-11-02 03:00:00,989.0hPa,8.1celsius,,,89.1%,1.6%,36.7%,89.1%,5.7celsius,0.0%,0.0mm,84.4%,0.01,260.5degrees,5.1m/s
2020-11-02 04:00:00,990.0hPa,8.0celsius,,,68.8%,0.0%,65.6%,67.2%,5.9celsius,0.0%,0.0mm,86.4%,0.01,253.0degrees,5.6m/s
2020-11-02 05:00:00,991.1hPa,8.1celsius,,,99.2%,0.0%,89.1%,99.2%,5.8celsius,0.0%,0.0mm,85.4%,0.01,243.9degrees,5.9m/s
2020-11-02 06:00:00,991.8hPa,8.0celsius,,,7.8%,0.0%,4.7%,3.1%,5.9celsius,0.0%,0.0mm,85.9%,0.01,241.0degrees,5.9m/s
2020-11-02 07:00:00,992.7hPa,7.6celsius,,,5.5%,0.0%,5.5%,0.0%,5.5celsius,0.0%,0.0mm,86.0%,0.01,234.9degrees,6.0m/s
2020-11-02 08:00:00,993.5hPa,7.8celsius,,,36.7%,0.0%,35.9%,1.6%,5.4celsius,0.0%,0.0mm,84.0%,0.11,230.5degrees,6.2m/s
2020-11-02 09:00:00,993.7hPa,8.6celsius,,,1.6%,0.0%,1.6%,0.0%,5.4celsius,0.0%,0.0mm,79.8%,0.31,226.1degrees,6.8m/s
2020-11-02 10:00:00,994.0hPa,9.5celsius,,,39.1%,0.0%,23.4%,37.5%,6.0celsius,0.0%,0.0mm,78.9%,0.61,227.4degrees,6.4m/s
2020-11-02 11:00:00,995.0hPa,9.9celsius,,,49.2%,0.0%,46.1%,17.2%,6.2celsius,0.0%,0.3mm,78.4%,0.81,244.3degrees,9.0m/s
2020-11-02 12:00:00,996.2hPa,10.1celsius,,,38.3%,0.8%,33.6%,18.0%,6.4celsius,0.0%,0.2mm,78.3%,0.91,257.2degrees,9.3m/s
2020-11-02 13:00:00,997.8hPa,9.7celsius,,,50.8%,33.6%,14.1%,22.7%,5.3celsius,0.0%,0.1mm,74.2%,0.81,258.8degrees,8.7m/s
2020-11-02 14:00:00,998.9hPa,9.6celsius,,,75.0%,28.1%,31.2%,64.8%,5.2celsius,0.0%,0.1mm,74.0%,0.61,257.4degrees,7.7m/s
2020-11-02 15:00:00,1000.3hPa,8.8celsius,,,94.5%,64.8%,89.1%,62.5%,5.1celsius,0.0%,0.2mm,76.7%,0.31,251.7degrees,8.2m/s
2020-11-02 16:00:00,1002.1hPa,7.3celsius,,,100.0%,64.1%,99.2%,86.7%,4.2celsius,0.0%,0.2mm,80.3%,0.11,255.7degrees,9.8m/s
2020-11-02 17:00:00,1004.0hPa,6.5celsius,,,94.5%,75.0%,0.0%,92.2%,3.0celsius,0.0%,0.0mm,78.5%,0.01,261.9degrees,10.1m/s
2020-11-02 18:00:00,1005.6hPa,6.3celsius,,,52.3%,42.2%,0.8%,32.8%,3.1celsius,0.0%,0.0mm,80.2%,0.01,256.4degrees,8.9m/s
2020-11-02 19:00:00,1007.1hPa,6.3celsius,,,1.6%,1.6%,0.0%,0.0%,2.9celsius,0.0%,0.0mm,78.9%,0.01,254.3degrees,8.3m/s
2020-11-02 20:00:00,1008.3hPa,6.1celsius,,,0.8%,0.0%,0.8%,0.0%,2.6celsius,0.0%,0.0mm,78.7%,0.01,248.9degrees,7.5m/s
2020-11-02 21:00:00,1009.0hPa,6.0celsius,,,0.8%,0.0%,0.8%,0.0%,2.1celsius,0.0%,0.0mm,76.5%,0.01,243.4degrees,6.9m/s
2020-11-02 22:00:00,1009.6hPa,5.8celsius,,,3.9%,3.1%,0.8%,0.0%,0.9celsius,0.0%,0.0mm,71.2%,0.01,238.3degrees,6.8m/s
2020-11-02 23:00:00,1009.8hPa,5.5celsius,,,1.6%,0.0%,0.8%,1.6%,0.4celsius,0.0%,0.0mm,69.5%,0.01,234.1degrees,6.6m/s
2020-11-03 00:00:00,1009.9hPa,5.4celsius,,,0.0%,0.0%,0.0%,0.0%,0.1celsius,0.0%,0.0mm,68.4%,0.01,230.5degrees,6.8m/s
2020-11-03 01:00:00,1009.6hPa,5.5celsius,,,0.0%,0.0%,0.0%,0.0%,0.1celsius,0.0%,0.0mm,67.8%,0.01,229.4degrees,7.0m/s
2020-11-03 02:00:00,1009.2hPa,5.5celsius,,,41.4%,30.5%,16.4%,18.0%,0.2celsius,0.0%,0.0mm,68.4%,0.01,228.3degrees,7.2m/s
2020-11-03 03:00:00,1009.1hPa,5.8celsius,,,96.9%,66.4%,91.4%,15.6%,0.8celsius,0.0%,0.0mm,70.1%,0.01,232.5degrees,7.7m/s
2020-11-03 04:00:00,1009.6hPa,6.7celsius,,,72.7%,22.7%,69.5%,6.2%,2.5celsius,0.0%,0.0mm,74.6%,0.01,249.3degrees,7.6m/s
2020-11-03 05:00:00,1010.9hPa,6.4celsius,,,71.9%,39.8%,53.1%,0.0%,3.1celsius,0.0%,0.0mm,79.4%,0.01,260.2degrees,6.9m/s
