Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-04 20:00:00,1039.8hPa,5.4celsius,,,64.8%,38.3%,43.8%,0.8%,4.5celsius,0.0%,0.0mm,94.1%,0.01,266.9degrees,1.3m/s
2020-11-04 21:00:00,1040.2hPa,4.7celsius,,,35.9%,0.0%,34.4%,3.1%,4.0celsius,0.0%,0.0mm,95.8%,0.01,269.7degrees,1.2m/s
2020-11-04 22:00:00,1040.7hPa,4.1celsius,,,39.1%,0.8%,25.0%,21.1%,3.5celsius,0.0%,0.0mm,96.3%,0.01,274.4degrees,1.2m/s
2020-11-04 23:00:00,1040.7hPa,3.8celsius,,,40.6%,0.0%,4.7%,39.1%,3.2celsius,0.0%,0.0mm,95.8%,0.01,274.7degrees,1.5m/s
2020-11-05 00:00:00,1040.7hPa,3.9celsius,,,47.7%,0.0%,1.6%,46.9%,3.2celsius,0.0%,0.0mm,95.6%,0.01,259.2degrees,1.6m/s
2020-11-05 01:00:00,1040.4hPa,3.7celsius,,,78.9%,0.0%,0.8%,78.9%,3.0celsius,0.0%,0.0mm,95.5%,0.01,250.6degrees,1.7m/s
2020-11-05 02:00:00,1040.3hPa,4.2celsius,,,2.3%,0.0%,0.0%,2.3%,3.4celsius,0.0%,0.0mm,94.6%,0.01,248.7degrees,1.7m/s
2020-11-05 03:00:00,1039.9hPa,3.0celsius,,,1.6%,0.0%,0.0%,1.6%,2.3celsius,0.0%,0.0mm,95.5%,0.01,246.3degrees,1.5m/s
2020-11-05 04:00:00,1039.7hPa,2.5celsius,,,3.9%,0.0%,0.0%,3.9%,1.9celsius,0.0%,0.0mm,96.1%,0.01,244.0degrees,1.5m/s
2020-11-05 05:00:00,1039.8hPa,2.1celsius,,,8.6%,0.0%,0.0%,8.6%,1.6celsius,0.0%,0.0mm,95.9%,0.01,239.4degrees,1.5m/s
2020-11-05 06:00:00,1039.6hPa,1.9celsius,,,2.3%,0.0%,2.3%,0.0%,1.3celsius,2.3%,0.0mm,96.1%,0.01,227.2degrees,1.5m/s
2020-11-05 07:00:00,1039.6hPa,1.6celsius,,,3.1%,0.0%,3.1%,0.0%,1.2celsius,0.8%,0.0mm,97.4%,0.01,227.9degrees,1.5m/s
2020-11-05 08:00:00,1039.9hPa,1.6celsius,,,46.9%,0.0%,46.9%,0.0%,1.4celsius,42.2%,0.0mm,98.3%,0.11,221.4degrees,1.5m/s
2020-11-05 09:00:00,1039.9hPa,3.5celsius,,,11.7%,0.0%,10.9%,0.8%,2.7celsius,7.0%,0.0mm,94.3%,0.31,227.0degrees,1.7m/s
2020-11-05 10:00:00,1039.8hPa,5.9celsius,,,6.2%,0.0%,1.6%,5.5%,3.9celsius,0.0%,0.0mm,87.2%,0.61,226.7degrees,1.1m/s
2020-11-05 11:00:00,1039.8hPa,7.8celsius,,,15.6%,0.0%,6.2%,14.8%,5.0celsius,0.0%,0.0mm,81.1%,1.01,227.2degrees,0.8m/s
2020-11-05 12:00:00,1039.5hPa,9.1celsius,,,20.3%,0.0%,10.2%,18.0%,5.6celsius,0.0%,0.0mm,78.8%,1.11,219.4degrees,0.8m/s
2020-11-05 13:00:00,1039.0hPa,9.8celsius,,,27.3%,0.0%,13.3%,23.4%,6.0celsius,0.0%,0.0mm,77.5%,1.01,227.8degrees,0.7m/s
2020-11-05 14:00:00,1038.5hPa,10.2celsius,,,36.7%,0.0%,14.1%,34.4%,6.2celsius,0.0%,0.0mm,76.9%,0.71,257.7degrees,0.6m/s
2020-11-05 15:00:00,1037.7hPa,10.1celsius,,,50.8%,0.0%,9.4%,50.0%,6.3celsius,0.0%,0.0mm,77.9%,0.31,346.5degrees,0.4m/s
2020-11-05 16:00:00,1037.0hPa,9.2celsius,,,43.0%,0.0%,10.9%,42.2%,7.0celsius,0.0%,0.0mm,86.2%,0.11,44.6degrees,0.8m/s
2020-11-05 17:00:00,1036.5hPa,8.1celsius,,,13.3%,0.0%,0.8%,13.3%,5.9celsius,0.0%,0.0mm,85.4%,0.01,54.6degrees,1.3m/s
2020-11-05 18:00:00,1036.2hPa,7.6celsius,,,0.8%,0.0%,0.0%,0.8%,5.8celsius,0.0%,0.0mm,87.8%,0.01,51.1degrees,1.4m/s
2020-11-05 19:00:00,1035.9hPa,6.8celsius,,,0.8%,0.0%,0.8%,0.0%,5.6celsius,0.0%,0.0mm,90.9%,0.01,44.7degrees,1.5m/s
2020-11-05 20:00:00,1035.5hPa,6.2celsius,,,0.8%,0.0%,0.8%,0.0%,5.3celsius,0.0%,0.0mm,93.6%,0.01,55.2degrees,1.4m/s
2020-11-05 21:00:00,1035.1hPa,5.6celsius,,,1.6%,0.0%,0.8%,0.8%,5.0celsius,0.0%,0.0mm,95.7%,0.01,86.6degrees,1.4m/s
2020-11-05 22:00:00,1034.9hPa,3.5celsius,,,7.0%,0.0%,7.0%,0.8%,3.4celsius,0.0%,0.0mm,99.3%,0.01,123.4degrees,2.0m/s
2020-11-05 23:00:00,1034.4hPa,2.9celsius,,,7.8%,0.0%,7.8%,0.0%,2.8celsius,0.0%,0.0mm,99.4%,0.01,143.6degrees,2.1m/s
2020-11-06 00:00:00,1033.8hPa,2.7celsius,,,19.5%,0.0%,19.5%,0.0%,2.6celsius,0.0%,0.0mm,99.4%,0.01,152.8degrees,2.0m/s
2020-11-06 01:00:00,1033.3hPa,2.8celsius,,,73.4%,0.0%,73.4%,0.0%,2.6celsius,0.0%,0.0mm,99.0%,0.01,137.4degrees,1.9m/s
2020-11-06 02:00:00,1032.7hPa,4.2celsius,,,97.7%,0.0%,97.7%,0.0%,3.8celsius,0.0%,0.0mm,97.7%,0.01,102.8degrees,1.4m/s
2020-11-06 03:00:00,1031.8hPa,5.0celsius,,,84.4%,0.0%,84.4%,0.0%,4.5celsius,0.0%,0.0mm,96.7%,0.01,55.1degrees,1.0m/s
2020-11-06 04:00:00,1031.0hPa,4.7celsius,,,21.1%,0.0%,21.1%,0.0%,4.2celsius,0.0%,0.0mm,97.2%,0.01,79.0degrees,1.5m/s
2020-11-06 05:00:00,1030.3hPa,4.1celsius,,,26.6%,0.0%,26.6%,0.8%,3.5celsius,0.0%,0.0mm,96.1%,0.01,91.6degrees,2.1m/s
2020-11-06 06:00:00,1029.8hPa,4.0celsius,,,72.7%,0.0%,70.3%,7.8%,3.4celsius,0.0%,0.0mm,96.5%,0.01,88.0degrees,2.0m/s
2020-11-06 07:00:00,1029.2hPa,5.4celsius,,,91.4%,0.0%,91.4%,9.4%,4.6celsius,0.0%,0.0mm,94.4%,0.01,95.4degrees,1.5m/s
2020-11-06 08:00:00,1028.9hPa,5.9celsius,,,75.8%,0.0%,74.2%,10.2%,5.2celsius,0.0%,0.0mm,94.2%,0.11,109.5degrees,1.5m/s
2020-11-06 09:00:00,1028.4hPa,7.4celsius,,,87.5%,0.0%,84.4%,21.1%,6.3celsius,0.0%,0.0mm,92.6%,0.31,116.7degrees,2.1m/s
2020-11-06 10:00:00,1027.8hPa,8.6celsius,,,40.6%,0.0%,37.5%,5.5%,6.9celsius,0.0%,0.0mm,89.0%,0.61,115.7degrees,2.2m/s
2020-11-06 11:00:00,1027.1hPa,9.4celsius,,,57.8%,0.0%,53.9%,10.2%,6.1celsius,0.0%,0.0mm,80.3%,0.91,113.9degrees,3.3m/s
2020-11-06 12:00:00,1026.2hPa,9.7celsius,,,37.5%,0.0%,18.0%,26.6%,5.5celsius,0.0%,0.0mm,75.2%,1.01,112.0degrees,3.4m/s
2020-11-06 13:00:00,1025.1hPa,9.7celsius,,,24.2%,7.8%,6.2%,14.8%,5.0celsius,0.0%,0.0mm,72.3%,0.91,112.8degrees,3.3m/s
2020-11-06 14:00:00,1024.2hPa,9.7celsius,,,49.2%,0.8%,3.1%,47.7%,5.0celsius,0.0%,0.0mm,72.3%,0.61,113.2degrees,3.4m/s
2020-11-06 15:00:00,1023.5hPa,9.2celsius,,,94.5%,62.5%,13.3%,93.0%,5.1celsius,0.0%,0.0mm,75.2%,0.31,118.7degrees,3.4m/s
2020-11-06 16:00:00,1022.7hPa,8.3celsius,,,100.0%,100.0%,16.4%,100.0%,5.1celsius,0.0%,0.2mm,79.4%,0.11,120.3degrees,2.4m/s
2020-11-06 17:00:00,1022.6hPa,7.8celsius,,,99.2%,97.7%,7.8%,97.7%,5.2celsius,0.0%,0.3mm,82.6%,0.01,119.2degrees,3.0m/s
2020-11-06 18:00:00,1022.1hPa,7.1celsius,,,94.5%,88.3%,0.0%,71.1%,4.9celsius,0.0%,0.1mm,84.7%,0.01,114.3degrees,2.0m/s
2020-11-06 19:00:00,1021.7hPa,6.3celsius,,,99.2%,80.5%,25.8%,98.4%,4.6celsius,0.0%,0.0mm,88.7%,0.01,75.4degrees,1.3m/s
2020-11-06 20:00:00,1021.5hPa,6.6celsius,,,100.0%,99.2%,35.2%,98.4%,4.7celsius,0.0%,0.0mm,87.0%,0.01,89.9degrees,1.9m/s
2020-11-06 21:00:00,1021.3hPa,6.6celsius,,,100.0%,84.4%,6.2%,99.2%,4.9celsius,0.0%,0.0mm,88.2%,0.01,87.0degrees,1.7m/s
2020-11-06 22:00:00,1021.2hPa,6.4celsius,,,96.9%,69.5%,2.3%,95.3%,4.9celsius,0.0%,0.0mm,89.6%,0.01,96.0degrees,1.2m/s
2020-11-06 23:00:00,1020.8hPa,6.3celsius,,,87.5%,44.5%,0.8%,79.7%,4.9celsius,0.0%,0.0mm,89.9%,0.01,57.1degrees,1.1m/s
2020-11-07 00:00:00,1020.3hPa,5.7celsius,,,86.7%,75.8%,0.0%,59.4%,4.6celsius,0.0%,0.0mm,92.4%,0.01,44.0degrees,1.3m/s
2020-11-07 01:00:00,1020.3hPa,4.8celsius,,,85.2%,78.9%,7.0%,32.0%,4.0celsius,0.0%,0.0mm,95.0%,0.01,51.8degrees,1.4m/s
2020-11-07 02:00:00,1020.3hPa,3.7celsius,,,35.2%,5.5%,32.0%,0.0%,3.0celsius,0.0%,0.0mm,95.3%,0.01,53.0degrees,1.8m/s
2020-11-07 03:00:00,1019.9hPa,3.4celsius,,,40.6%,0.0%,40.6%,0.0%,2.8celsius,0.0%,0.0mm,95.8%,0.01,55.5degrees,1.9m/s
2020-11-07 04:00:00,1019.8hPa,3.4celsius,,,49.2%,0.0%,49.2%,0.0%,2.8celsius,0.0%,0.0mm,95.6%,0.01,54.3degrees,1.8m/s
2020-11-07 05:00:00,1019.4hPa,4.1celsius,,,14.1%,0.0%,14.1%,0.0%,3.3celsius,0.0%,0.0mm,95.3%,0.01,28.4degrees,1.5m/s
2020-11-07 06:00:00,1019.4hPa,2.4celsius,11.0celsius,8.6celsius,10.9%,7.0%,3.9%,0.0%,1.9celsius,0.0%,0.1mm,96.4%,0.01,34.8degrees,2.0m/s
2020-11-07 12:00:00,1018.0hPa,11.1celsius,12.2celsius,10.5celsius,81.2%,9.4%,78.9%,1.6%,9.9celsius,,1.4mm,91.6%,,58.8degrees,2.7m/s
2020-11-07 18:00:00,1016.6hPa,10.5celsius,10.7celsius,10.0celsius,100.0%,93.8%,86.7%,90.6%,9.5celsius,,2.3mm,93.9%,,42.7degrees,2.4m/s
2020-11-08 00:00:00,1015.0hPa,10.8celsius,11.4celsius,10.8celsius,100.0%,100.0%,99.2%,96.9%,10.1celsius,,2.6mm,95.2%,,77.9degrees,2.9m/s
2020-11-08 06:00:00,1012.9hPa,11.2celsius,13.4celsius,11.2celsius,100.0%,100.0%,100.0%,99.2%,10.9celsius,,0.3mm,98.2%,,123.7degrees,2.0m/s
