Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-04 20:00:00,1039.2hPa,5.6celsius,,,22.7%,10.2%,12.5%,2.3%,4.8celsius,0.0%,0.0mm,93.8%,0.01,255.0degrees,2.3m/s
2020-11-04 21:00:00,1039.7hPa,5.1celsius,,,18.8%,5.5%,4.7%,10.9%,4.3celsius,0.0%,0.0mm,94.9%,0.01,254.1degrees,2.2m/s
2020-11-04 22:00:00,1040.2hPa,4.7celsius,,,25.0%,0.0%,0.8%,24.2%,4.0celsius,0.0%,0.0mm,95.5%,0.01,243.4degrees,2.2m/s
2020-11-04 23:00:00,1040.2hPa,4.7celsius,,,98.4%,0.0%,0.0%,98.4%,3.9celsius,0.0%,0.0mm,95.5%,0.01,239.7degrees,2.4m/s
2020-11-05 00:00:00,1040.1hPa,5.6celsius,,,93.0%,0.0%,0.0%,93.0%,4.3celsius,0.0%,0.0mm,91.3%,0.01,246.2degrees,2.5m/s
2020-11-05 01:00:00,1039.9hPa,5.8celsius,,,62.5%,0.0%,0.0%,62.5%,4.3celsius,0.0%,0.0mm,90.1%,0.01,246.2degrees,2.7m/s
2020-11-05 02:00:00,1039.7hPa,5.6celsius,,,98.4%,0.0%,0.0%,98.4%,4.1celsius,0.0%,0.0mm,90.7%,0.01,243.8degrees,2.8m/s
2020-11-05 03:00:00,1039.4hPa,5.6celsius,,,45.3%,0.0%,0.8%,45.3%,4.1celsius,0.0%,0.0mm,90.0%,0.01,239.6degrees,2.8m/s
2020-11-05 04:00:00,1039.3hPa,5.0celsius,,,33.6%,0.0%,9.4%,28.9%,3.8celsius,0.0%,0.0mm,92.7%,0.01,249.2degrees,3.0m/s
2020-11-05 05:00:00,1039.2hPa,4.8celsius,,,9.4%,0.0%,7.0%,4.7%,3.6celsius,0.0%,0.0mm,92.6%,0.01,244.8degrees,2.8m/s
2020-11-05 06:00:00,1039.0hPa,4.5celsius,,,16.4%,0.0%,8.6%,14.1%,3.4celsius,0.0%,0.0mm,93.3%,0.01,250.1degrees,2.7m/s
2020-11-05 07:00:00,1039.0hPa,4.4celsius,,,40.6%,0.0%,14.1%,38.3%,3.4celsius,0.0%,0.0mm,93.7%,0.01,255.5degrees,2.7m/s
2020-11-05 08:00:00,1039.0hPa,4.6celsius,,,28.1%,0.0%,13.3%,25.0%,3.6celsius,0.0%,0.0mm,94.0%,0.11,250.0degrees,2.7m/s
2020-11-05 09:00:00,1039.0hPa,5.5celsius,,,5.5%,0.0%,5.5%,0.0%,4.1celsius,0.0%,0.0mm,91.1%,0.31,238.1degrees,2.7m/s
2020-11-05 10:00:00,1039.3hPa,6.9celsius,,,21.1%,0.0%,21.1%,8.6%,4.9celsius,0.0%,0.0mm,86.1%,0.61,235.0degrees,2.5m/s
2020-11-05 11:00:00,1039.3hPa,8.1celsius,,,63.3%,0.0%,40.6%,56.2%,5.6celsius,0.0%,0.0mm,84.0%,0.91,237.4degrees,2.4m/s
2020-11-05 12:00:00,1039.2hPa,8.9celsius,,,85.2%,0.0%,68.8%,78.9%,6.2celsius,0.0%,0.0mm,83.2%,1.01,240.0degrees,2.3m/s
2020-11-05 13:00:00,1038.7hPa,9.3celsius,,,99.2%,0.0%,99.2%,70.3%,6.6celsius,0.0%,0.0mm,83.8%,0.91,258.9degrees,1.9m/s
2020-11-05 14:00:00,1038.2hPa,9.6celsius,,,100.0%,0.0%,100.0%,72.7%,6.9celsius,0.0%,0.0mm,84.2%,0.61,250.3degrees,1.7m/s
2020-11-05 15:00:00,1037.6hPa,9.7celsius,,,96.9%,0.0%,96.9%,56.2%,7.0celsius,0.0%,0.0mm,83.9%,0.31,240.7degrees,2.0m/s
2020-11-05 16:00:00,1037.1hPa,9.4celsius,,,64.8%,0.0%,29.7%,61.7%,7.2celsius,0.0%,0.0mm,86.7%,0.11,244.8degrees,1.4m/s
2020-11-05 17:00:00,1036.6hPa,8.3celsius,,,72.7%,0.0%,3.1%,71.9%,7.0celsius,0.0%,0.0mm,91.4%,0.01,270.1degrees,1.3m/s
2020-11-05 18:00:00,1036.2hPa,7.7celsius,,,42.2%,0.0%,1.6%,42.2%,6.4celsius,0.0%,0.0mm,91.4%,0.01,299.6degrees,1.5m/s
2020-11-05 19:00:00,1035.9hPa,8.0celsius,,,2.3%,0.0%,1.6%,1.6%,6.7celsius,0.0%,0.0mm,91.2%,0.01,302.9degrees,0.5m/s
2020-11-05 20:00:00,1035.6hPa,7.0celsius,,,4.7%,0.0%,3.9%,0.8%,6.2celsius,0.0%,0.0mm,94.4%,0.01,153.6degrees,0.4m/s
2020-11-05 21:00:00,1035.3hPa,6.2celsius,,,3.9%,0.0%,3.9%,0.0%,5.7celsius,0.8%,0.0mm,96.2%,0.01,135.5degrees,0.9m/s
2020-11-05 22:00:00,1034.8hPa,6.0celsius,,,2.3%,0.0%,2.3%,0.8%,5.7celsius,0.0%,0.0mm,97.7%,0.01,91.8degrees,1.2m/s
2020-11-05 23:00:00,1034.4hPa,4.9celsius,,,62.5%,0.0%,62.5%,0.8%,4.9celsius,62.5%,0.0mm,99.5%,0.01,117.2degrees,1.4m/s
2020-11-06 00:00:00,1033.9hPa,4.4celsius,,,63.3%,0.0%,63.3%,0.0%,4.3celsius,62.5%,0.0mm,99.4%,0.01,107.6degrees,1.8m/s
2020-11-06 01:00:00,1033.5hPa,4.4celsius,,,99.2%,0.0%,99.2%,0.0%,4.3celsius,99.2%,0.0mm,99.3%,0.01,106.6degrees,1.6m/s
2020-11-06 02:00:00,1033.0hPa,4.2celsius,,,99.2%,0.0%,99.2%,0.8%,4.1celsius,99.2%,0.0mm,99.3%,0.01,121.9degrees,1.7m/s
2020-11-06 03:00:00,1032.2hPa,4.4celsius,,,99.2%,0.0%,99.2%,0.8%,4.3celsius,99.2%,0.0mm,99.3%,0.01,112.9degrees,1.4m/s
2020-11-06 04:00:00,1031.4hPa,5.5celsius,,,100.0%,0.0%,100.0%,0.8%,5.3celsius,100.0%,0.0mm,98.8%,0.01,99.6degrees,1.5m/s
2020-11-06 05:00:00,1030.7hPa,5.7celsius,,,77.3%,0.0%,77.3%,0.8%,5.6celsius,45.3%,0.0mm,98.6%,0.01,90.8degrees,2.0m/s
2020-11-06 06:00:00,1030.1hPa,6.5celsius,,,48.4%,0.0%,46.9%,4.7%,6.1celsius,0.8%,0.0mm,96.9%,0.01,91.4degrees,2.3m/s
2020-11-06 07:00:00,1029.6hPa,6.6celsius,,,39.1%,0.0%,38.3%,3.9%,6.1celsius,0.0%,0.0mm,96.3%,0.01,94.2degrees,2.3m/s
