Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-04 20:00:00,1038.2hPa,10.0celsius,,,93.0%,23.4%,7.8%,89.8%,5.8celsius,0.0%,0.0mm,75.9%,0.01,248.1degrees,4.5m/s
2020-11-04 21:00:00,1038.4hPa,9.7celsius,,,97.7%,0.0%,45.3%,96.9%,6.0celsius,0.0%,0.0mm,78.4%,0.01,232.9degrees,4.7m/s
2020-11-04 22:00:00,1038.7hPa,9.6celsius,,,97.7%,0.0%,46.1%,96.9%,5.9celsius,0.0%,0.0mm,78.0%,0.01,228.7degrees,4.9m/s
2020-11-04 23:00:00,1038.8hPa,9.3celsius,,,98.4%,0.0%,56.2%,97.7%,6.3celsius,0.0%,0.0mm,81.6%,0.01,223.9degrees,5.0m/s
2020-11-05 00:00:00,1038.9hPa,9.3celsius,,,100.0%,0.0%,63.3%,100.0%,6.5celsius,0.0%,0.0mm,83.6%,0.01,220.7degrees,5.1m/s
2020-11-05 01:00:00,1038.6hPa,9.3celsius,,,99.2%,0.0%,57.8%,98.4%,7.0celsius,0.0%,0.0mm,85.8%,0.01,220.1degrees,5.3m/s
2020-11-05 02:00:00,1038.5hPa,9.6celsius,,,79.7%,0.0%,50.0%,71.9%,7.6celsius,0.0%,0.0mm,87.9%,0.01,231.9degrees,5.3m/s
2020-11-05 03:00:00,1038.3hPa,9.8celsius,,,68.8%,0.0%,53.1%,54.7%,8.2celsius,0.0%,0.0mm,90.8%,0.01,243.3degrees,5.6m/s
2020-11-05 04:00:00,1038.0hPa,9.8celsius,,,97.7%,0.0%,96.9%,43.0%,8.6celsius,0.0%,0.0mm,93.1%,0.01,246.6degrees,5.6m/s
2020-11-05 05:00:00,1037.9hPa,9.9celsius,,,100.0%,0.0%,100.0%,37.5%,8.7celsius,0.0%,0.0mm,93.2%,0.01,247.4degrees,5.3m/s
2020-11-05 06:00:00,1037.7hPa,10.0celsius,,,100.0%,0.8%,100.0%,22.7%,8.8celsius,0.0%,0.0mm,93.1%,0.01,242.8degrees,5.0m/s
2020-11-05 07:00:00,1037.6hPa,9.9celsius,,,100.0%,3.9%,100.0%,10.2%,8.7celsius,0.0%,0.0mm,92.9%,0.01,236.7degrees,5.0m/s
2020-11-05 08:00:00,1037.9hPa,9.9celsius,,,100.0%,0.0%,100.0%,3.9%,8.6celsius,0.0%,0.0mm,92.5%,0.01,231.4degrees,4.7m/s
2020-11-05 09:00:00,1038.0hPa,10.0celsius,,,100.0%,0.0%,100.0%,5.5%,8.6celsius,0.0%,0.0mm,91.8%,0.21,230.4degrees,4.5m/s
2020-11-05 10:00:00,1037.9hPa,10.3celsius,,,100.0%,0.8%,100.0%,6.2%,8.7celsius,0.0%,0.0mm,90.6%,0.51,231.9degrees,4.3m/s
2020-11-05 11:00:00,1037.9hPa,10.6celsius,,,100.0%,0.0%,100.0%,6.2%,8.8celsius,0.0%,0.0mm,88.9%,0.81,234.0degrees,4.3m/s
2020-11-05 12:00:00,1037.9hPa,10.8celsius,,,100.0%,0.0%,100.0%,7.8%,8.7celsius,0.0%,0.0mm,87.3%,1.01,233.9degrees,3.9m/s
2020-11-05 13:00:00,1037.7hPa,11.0celsius,,,100.0%,0.0%,100.0%,10.2%,8.7celsius,0.0%,0.0mm,85.8%,0.91,233.4degrees,3.4m/s
2020-11-05 14:00:00,1037.5hPa,11.1celsius,,,100.0%,0.0%,100.0%,12.5%,8.6celsius,0.0%,0.0mm,85.1%,0.61,228.2degrees,2.7m/s
2020-11-05 15:00:00,1036.9hPa,11.0celsius,,,100.0%,0.0%,100.0%,5.5%,8.8celsius,0.0%,0.0mm,86.2%,0.31,220.5degrees,2.1m/s
2020-11-05 16:00:00,1036.5hPa,10.9celsius,,,99.2%,0.0%,99.2%,3.9%,8.9celsius,0.0%,0.0mm,87.6%,0.11,209.0degrees,1.8m/s
2020-11-05 17:00:00,1036.1hPa,10.8celsius,,,91.4%,0.0%,90.6%,1.6%,8.6celsius,0.0%,0.0mm,87.0%,0.01,200.3degrees,1.9m/s
2020-11-05 18:00:00,1035.8hPa,10.4celsius,,,84.4%,0.0%,84.4%,0.0%,8.3celsius,0.0%,0.0mm,87.2%,0.01,197.9degrees,2.0m/s
2020-11-05 19:00:00,1035.3hPa,10.0celsius,,,68.8%,0.0%,68.8%,3.9%,8.1celsius,0.0%,0.0mm,89.0%,0.01,189.2degrees,1.7m/s
2020-11-05 20:00:00,1034.8hPa,9.6celsius,,,51.6%,0.0%,50.8%,0.0%,8.0celsius,0.0%,0.0mm,90.6%,0.01,169.9degrees,1.8m/s
2020-11-05 21:00:00,1034.3hPa,9.1celsius,,,44.5%,1.6%,43.0%,0.8%,7.8celsius,0.0%,0.0mm,92.2%,0.01,161.9degrees,2.0m/s
2020-11-05 22:00:00,1034.0hPa,9.0celsius,,,57.8%,28.1%,41.4%,0.0%,7.6celsius,0.0%,0.0mm,91.8%,0.01,158.6degrees,2.3m/s
2020-11-05 23:00:00,1033.9hPa,8.7celsius,,,65.6%,40.6%,43.0%,0.0%,7.3celsius,0.0%,0.0mm,90.8%,0.01,150.7degrees,2.5m/s
2020-11-06 00:00:00,1033.4hPa,8.6celsius,,,54.7%,25.0%,38.3%,0.0%,7.2celsius,0.0%,0.0mm,91.1%,0.01,153.2degrees,2.3m/s
2020-11-06 01:00:00,1032.8hPa,8.1celsius,,,28.9%,0.8%,28.1%,0.0%,7.0celsius,0.8%,0.0mm,92.8%,0.01,156.2degrees,2.3m/s
2020-11-06 02:00:00,1032.4hPa,7.7celsius,,,32.8%,0.0%,32.8%,0.0%,6.8celsius,0.0%,0.0mm,94.5%,0.01,158.1degrees,2.2m/s
2020-11-06 03:00:00,1031.8hPa,7.5celsius,,,53.9%,0.0%,53.9%,1.6%,6.7celsius,0.8%,0.0mm,94.8%,0.01,150.8degrees,2.2m/s
2020-11-06 04:00:00,1031.2hPa,7.6celsius,,,78.9%,0.0%,78.9%,0.8%,6.7celsius,0.0%,0.0mm,93.7%,0.01,138.0degrees,2.4m/s
2020-11-06 05:00:00,1030.5hPa,7.6celsius,,,67.2%,0.0%,67.2%,1.6%,6.7celsius,0.0%,0.0mm,94.2%,0.01,122.9degrees,2.6m/s
2020-11-06 06:00:00,1030.0hPa,7.4celsius,,,96.9%,0.0%,96.9%,0.0%,6.6celsius,0.0%,0.0mm,94.7%,0.01,113.1degrees,3.0m/s
2020-11-06 07:00:00,1029.4hPa,7.3celsius,,,96.1%,0.0%,96.1%,3.1%,6.5celsius,0.0%,0.0mm,94.7%,0.01,105.7degrees,3.2m/s
2020-11-06 08:00:00,1029.0hPa,7.5celsius,,,78.9%,0.0%,78.9%,3.1%,6.6celsius,0.0%,0.0mm,94.4%,0.01,102.4degrees,3.3m/s
2020-11-06 09:00:00,1028.5hPa,8.1celsius,,,34.4%,0.0%,32.8%,4.7%,6.9celsius,0.0%,0.0mm,92.3%,0.21,110.1degrees,3.2m/s
2020-11-06 10:00:00,1028.1hPa,9.0celsius,,,41.4%,0.0%,39.1%,7.8%,7.1celsius,0.0%,0.0mm,88.7%,0.51,123.0degrees,3.0m/s
