Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-02 01:00:00,983.4hPa,9.9celsius,,,88.3%,39.1%,15.6%,85.2%,8.1celsius,0.0%,0.7mm,89.3%,0.01,264.7degrees,8.7m/s
2020-11-02 02:00:00,984.1hPa,9.6celsius,,,100.0%,57.0%,7.0%,100.0%,8.0celsius,0.0%,1.0mm,91.0%,0.01,263.2degrees,8.2m/s
2020-11-02 03:00:00,984.8hPa,9.6celsius,,,100.0%,71.1%,5.5%,100.0%,8.0celsius,0.0%,1.0mm,90.4%,0.01,255.2degrees,7.9m/s
2020-11-02 04:00:00,985.4hPa,9.6celsius,,,100.0%,71.1%,7.8%,100.0%,7.5celsius,0.0%,0.6mm,87.5%,0.01,255.6degrees,7.7m/s
2020-11-02 05:00:00,986.3hPa,9.5celsius,,,99.2%,13.3%,22.7%,98.4%,7.1celsius,0.0%,0.9mm,85.7%,0.01,251.7degrees,7.4m/s
2020-11-02 06:00:00,987.3hPa,9.4celsius,,,100.0%,14.8%,6.2%,100.0%,7.2celsius,0.0%,0.9mm,87.0%,0.01,246.3degrees,7.4m/s
2020-11-02 07:00:00,988.4hPa,9.3celsius,,,100.0%,71.1%,14.8%,100.0%,6.9celsius,0.0%,1.1mm,85.3%,0.01,246.3degrees,7.3m/s
2020-11-02 08:00:00,989.3hPa,9.3celsius,,,100.0%,97.7%,76.6%,100.0%,7.0celsius,0.0%,0.8mm,85.8%,0.01,246.2degrees,6.7m/s
2020-11-02 09:00:00,990.6hPa,9.5celsius,,,99.2%,92.2%,75.0%,97.7%,6.3celsius,0.0%,0.1mm,81.1%,0.21,252.1degrees,6.5m/s
2020-11-02 10:00:00,991.6hPa,9.9celsius,,,100.0%,99.2%,69.5%,99.2%,5.5celsius,0.0%,0.2mm,74.5%,0.41,258.7degrees,6.4m/s
2020-11-02 11:00:00,992.7hPa,9.9celsius,,,99.2%,96.9%,24.2%,96.9%,5.5celsius,0.0%,0.5mm,74.2%,0.71,278.8degrees,7.5m/s
2020-11-02 12:00:00,994.0hPa,9.4celsius,,,96.1%,89.8%,35.9%,66.4%,6.2celsius,0.0%,0.1mm,80.6%,0.81,285.9degrees,8.0m/s
2020-11-02 13:00:00,994.9hPa,9.6celsius,,,93.0%,83.6%,53.9%,52.3%,6.5celsius,0.0%,0.5mm,81.4%,0.71,281.9degrees,7.3m/s
2020-11-02 14:00:00,995.9hPa,9.5celsius,,,55.5%,18.8%,32.0%,33.6%,6.4celsius,0.0%,0.4mm,81.4%,0.51,277.0degrees,8.0m/s
2020-11-02 15:00:00,997.0hPa,9.3celsius,,,95.3%,90.6%,46.9%,46.1%,6.5celsius,0.0%,1.2mm,82.9%,0.21,273.0degrees,8.6m/s
2020-11-02 16:00:00,998.1hPa,9.0celsius,,,99.2%,97.7%,37.5%,76.6%,6.4celsius,0.0%,0.5mm,84.6%,0.11,254.6degrees,10.5m/s
2020-11-02 17:00:00,999.3hPa,9.2celsius,,,99.2%,98.4%,46.9%,93.0%,6.2celsius,0.0%,1.9mm,81.4%,0.01,261.5degrees,10.3m/s
2020-11-02 18:00:00,1001.0hPa,8.2celsius,,,100.0%,99.2%,67.2%,100.0%,5.8celsius,0.0%,1.3mm,84.2%,0.01,265.2degrees,12.8m/s
2020-11-02 19:00:00,1002.2hPa,8.1celsius,,,100.0%,99.2%,25.8%,99.2%,5.4celsius,0.0%,0.4mm,82.6%,0.01,265.8degrees,12.5m/s
2020-11-02 20:00:00,1003.0hPa,8.2celsius,,,100.0%,100.0%,18.0%,99.2%,5.1celsius,0.0%,0.9mm,79.9%,0.01,252.1degrees,12.1m/s
2020-11-02 21:00:00,1003.8hPa,7.3celsius,,,100.0%,100.0%,34.4%,100.0%,5.2celsius,0.0%,0.4mm,85.7%,0.01,240.4degrees,11.9m/s
2020-11-02 22:00:00,1004.5hPa,7.1celsius,,,100.0%,38.3%,12.5%,100.0%,4.8celsius,0.0%,0.2mm,84.6%,0.01,238.0degrees,10.6m/s
2020-11-02 23:00:00,1004.9hPa,7.0celsius,,,98.4%,93.0%,14.8%,97.7%,4.3celsius,0.0%,0.1mm,82.4%,0.01,230.2degrees,8.9m/s
2020-11-03 00:00:00,1004.8hPa,7.0celsius,,,75.0%,65.6%,7.8%,51.6%,4.1celsius,0.0%,0.0mm,81.4%,0.01,213.7degrees,7.7m/s
2020-11-03 01:00:00,1005.0hPa,6.7celsius,,,68.0%,60.2%,14.8%,37.5%,3.6celsius,0.0%,0.0mm,80.6%,0.01,209.8degrees,7.5m/s
2020-11-03 02:00:00,1005.4hPa,6.4celsius,,,77.3%,68.0%,25.0%,43.8%,3.6celsius,0.0%,0.0mm,81.9%,0.01,216.5degrees,7.1m/s
2020-11-03 03:00:00,1006.0hPa,6.5celsius,,,89.1%,81.2%,39.8%,63.3%,3.9celsius,0.0%,0.0mm,83.1%,0.01,227.5degrees,7.1m/s
2020-11-03 04:00:00,1006.5hPa,7.3celsius,,,78.9%,67.2%,37.5%,38.3%,4.2celsius,0.0%,0.2mm,80.1%,0.01,245.8degrees,6.6m/s
2020-11-03 05:00:00,1007.4hPa,8.2celsius,,,51.6%,23.4%,35.9%,26.6%,4.9celsius,0.0%,0.2mm,78.7%,0.01,256.3degrees,6.7m/s
2020-11-03 06:00:00,1008.3hPa,9.0celsius,,,76.6%,55.5%,40.6%,36.7%,3.8celsius,0.0%,0.5mm,70.0%,0.01,277.1degrees,8.7m/s
2020-11-03 07:00:00,1009.4hPa,8.8celsius,,,85.2%,76.6%,31.2%,28.9%,4.7celsius,0.0%,0.2mm,75.2%,0.01,280.0degrees,8.6m/s
2020-11-03 08:00:00,1010.4hPa,9.3celsius,,,79.7%,49.2%,56.2%,46.1%,4.9celsius,0.0%,1.3mm,73.7%,0.01,271.9degrees,8.4m/s
2020-11-03 09:00:00,1011.8hPa,8.0celsius,,,60.2%,46.1%,22.7%,19.5%,5.4celsius,0.0%,0.5mm,83.1%,0.21,260.9degrees,10.4m/s
2020-11-03 10:00:00,1012.5hPa,8.5celsius,,,71.9%,55.5%,39.1%,15.6%,5.9celsius,0.0%,0.7mm,83.7%,0.41,264.1degrees,10.7m/s
2020-11-03 11:00:00,1013.4hPa,8.6celsius,,,78.1%,38.3%,61.7%,11.7%,5.9celsius,0.0%,0.9mm,82.6%,0.61,257.6degrees,10.1m/s
2020-11-03 12:00:00,1014.1hPa,9.1celsius,,,78.1%,18.0%,72.7%,17.2%,5.9celsius,0.0%,0.6mm,80.3%,0.71,258.2degrees,9.1m/s
2020-11-03 13:00:00,1015.0hPa,9.5celsius,,,82.8%,3.1%,78.9%,22.7%,4.6celsius,0.0%,0.2mm,71.1%,0.61,277.0degrees,8.6m/s
2020-11-03 14:00:00,1016.0hPa,9.7celsius,,,48.4%,7.8%,37.5%,22.7%,4.1celsius,0.0%,0.0mm,68.4%,0.41,295.1degrees,8.6m/s
2020-11-03 15:00:00,1016.7hPa,9.7celsius,,,37.5%,0.0%,28.1%,22.7%,4.3celsius,0.0%,0.1mm,69.1%,0.21,303.7degrees,9.1m/s
2020-11-03 16:00:00,1017.7hPa,9.8celsius,,,27.3%,0.0%,23.4%,18.8%,5.0celsius,0.0%,0.1mm,71.8%,0.11,303.1degrees,8.7m/s
2020-11-03 17:00:00,1019.1hPa,10.1celsius,,,23.4%,0.0%,15.6%,15.6%,4.6celsius,0.0%,0.0mm,68.8%,0.01,305.2degrees,9.0m/s
2020-11-03 18:00:00,1020.4hPa,10.2celsius,,,22.7%,0.0%,9.4%,19.5%,4.4celsius,0.0%,0.1mm,67.1%,0.01,304.4degrees,9.3m/s
2020-11-03 19:00:00,1021.5hPa,10.4celsius,,,24.2%,0.0%,9.4%,20.3%,4.2celsius,0.0%,0.1mm,65.7%,0.01,300.0degrees,10.0m/s
2020-11-03 20:00:00,1022.6hPa,10.3celsius,,,57.8%,0.0%,10.9%,56.2%,4.1celsius,0.0%,0.1mm,65.4%,0.01,298.3degrees,10.4m/s
2020-11-03 21:00:00,1023.7hPa,10.1celsius,,,42.2%,0.0%,13.3%,39.1%,4.3celsius,0.0%,0.0mm,67.3%,0.01,300.9degrees,10.8m/s
2020-11-03 22:00:00,1024.5hPa,10.2celsius,,,3.9%,0.0%,3.9%,2.3%,3.8celsius,0.0%,0.0mm,64.9%,0.01,297.9degrees,10.1m/s
2020-11-03 23:00:00,1025.3hPa,10.4celsius,,,75.0%,0.0%,14.8%,73.4%,4.3celsius,0.0%,0.0mm,66.3%,0.01,303.3degrees,10.9m/s
2020-11-04 00:00:00,1026.1hPa,10.5celsius,,,85.2%,0.0%,31.2%,83.6%,4.3celsius,0.0%,0.1mm,65.9%,0.01,304.4degrees,12.3m/s
2020-11-04 01:00:00,1027.2hPa,10.2celsius,,,79.7%,0.0%,47.7%,72.7%,5.3celsius,0.0%,0.1mm,71.8%,0.01,307.9degrees,11.2m/s
2020-11-04 02:00:00,1027.7hPa,10.7celsius,,,68.0%,0.0%,32.8%,63.3%,4.9celsius,0.0%,0.1mm,67.0%,0.01,312.5degrees,11.6m/s
2020-11-04 03:00:00,1028.1hPa,10.9celsius,,,47.7%,0.0%,41.4%,35.2%,5.1celsius,0.0%,0.0mm,66.9%,0.01,312.0degrees,11.7m/s
2020-11-04 04:00:00,1028.8hPa,10.6celsius,,,41.4%,0.0%,39.8%,19.5%,5.7celsius,0.0%,0.0mm,71.7%,0.01,312.3degrees,11.1m/s
2020-11-04 05:00:00,1029.7hPa,10.6celsius,,,75.0%,0.0%,74.2%,38.3%,5.5celsius,0.0%,0.1mm,70.6%,0.01,313.3degrees,10.8m/s
2020-11-04 06:00:00,1030.4hPa,10.6celsius,,,74.2%,0.0%,73.4%,11.7%,5.4celsius,0.0%,0.0mm,70.1%,0.01,313.2degrees,11.0m/s
2020-11-04 07:00:00,1031.4hPa,10.6celsius,,,75.0%,0.0%,75.0%,0.0%,5.4celsius,0.0%,0.0mm,69.8%,0.01,310.9degrees,10.6m/s
2020-11-04 08:00:00,1032.5hPa,10.7celsius,,,78.1%,0.0%,77.3%,3.1%,5.3celsius,0.0%,0.0mm,69.3%,0.01,313.4degrees,10.1m/s
2020-11-04 09:00:00,1033.3hPa,10.7celsius,,,79.7%,0.8%,79.7%,0.0%,5.1celsius,0.0%,0.0mm,68.4%,0.21,314.0degrees,9.1m/s
2020-11-04 10:00:00,1034.1hPa,10.8celsius,,,45.3%,0.8%,44.5%,5.5%,5.0celsius,0.0%,0.0mm,67.0%,0.41,309.0degrees,8.3m/s
2020-11-04 11:00:00,1034.8hPa,10.8celsius,,,82.0%,0.8%,82.0%,5.5%,4.5celsius,0.0%,0.0mm,65.0%,0.71,308.0degrees,8.2m/s
2020-11-04 12:00:00,1035.0hPa,10.6celsius,,,84.4%,14.1%,81.2%,3.1%,4.8celsius,0.0%,0.0mm,67.2%,0.81,303.3degrees,8.3m/s
2020-11-04 13:00:00,1035.0hPa,10.5celsius,,,50.8%,3.9%,39.1%,19.5%,4.3celsius,0.0%,0.0mm,65.4%,0.71,298.4degrees,8.6m/s
2020-11-04 14:00:00,1035.4hPa,10.5celsius,,,99.2%,77.3%,93.0%,14.1%,3.9celsius,0.0%,0.0mm,63.9%,0.51,293.5degrees,8.0m/s
2020-11-04 15:00:00,1035.7hPa,10.4celsius,,,100.0%,78.9%,98.4%,0.0%,3.8celsius,0.0%,0.0mm,63.9%,0.21,284.8degrees,7.0m/s
2020-11-04 16:00:00,1036.0hPa,10.3celsius,,,99.2%,64.8%,99.2%,1.6%,3.9celsius,0.0%,0.0mm,64.9%,0.11,279.3degrees,7.1m/s
