Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-02 01:00:00,984.6hPa,10.0celsius,,,95.3%,81.2%,30.5%,91.4%,6.6celsius,0.0%,0.1mm,80.7%,0.01,289.9degrees,6.9m/s
2020-11-02 02:00:00,985.1hPa,9.9celsius,,,96.1%,57.0%,49.2%,93.0%,6.0celsius,0.0%,0.1mm,77.0%,0.01,294.6degrees,6.7m/s
2020-11-02 03:00:00,985.9hPa,9.9celsius,,,97.7%,69.5%,27.3%,97.7%,6.4celsius,0.0%,0.3mm,80.0%,0.01,287.1degrees,6.3m/s
2020-11-02 04:00:00,986.4hPa,9.8celsius,,,99.2%,88.3%,89.8%,99.2%,5.9celsius,0.0%,0.1mm,77.3%,0.01,284.7degrees,6.0m/s
2020-11-02 05:00:00,987.3hPa,10.2celsius,,,100.0%,86.7%,28.1%,99.2%,4.5celsius,0.0%,0.0mm,67.7%,0.01,293.6degrees,5.9m/s
2020-11-02 06:00:00,988.2hPa,10.6celsius,,,100.0%,93.8%,18.8%,99.2%,3.7celsius,0.0%,0.0mm,62.8%,0.01,303.6degrees,6.5m/s
2020-11-02 07:00:00,989.6hPa,10.2celsius,,,98.4%,93.0%,32.0%,88.3%,4.3celsius,0.0%,0.1mm,66.9%,0.01,304.0degrees,8.5m/s
2020-11-02 08:00:00,990.9hPa,9.7celsius,,,97.7%,89.1%,42.2%,90.6%,5.1celsius,0.0%,0.1mm,72.7%,0.01,302.7degrees,8.6m/s
2020-11-02 09:00:00,992.6hPa,9.3celsius,,,97.7%,93.8%,9.4%,93.8%,6.5celsius,0.0%,0.0mm,83.0%,0.21,302.2degrees,8.9m/s
2020-11-02 10:00:00,993.7hPa,9.4celsius,,,98.4%,96.9%,10.9%,90.6%,6.3celsius,0.0%,0.1mm,81.1%,0.41,289.7degrees,7.8m/s
2020-11-02 11:00:00,994.7hPa,9.8celsius,,,97.7%,96.1%,21.9%,89.1%,6.3celsius,0.0%,1.2mm,79.6%,0.61,279.0degrees,7.7m/s
2020-11-02 12:00:00,996.3hPa,8.9celsius,,,98.4%,96.1%,56.2%,94.5%,6.0celsius,0.0%,0.8mm,81.9%,0.81,277.8degrees,10.8m/s
2020-11-02 13:00:00,997.2hPa,8.9celsius,,,100.0%,100.0%,31.2%,99.2%,6.3celsius,0.0%,1.6mm,83.9%,0.71,277.2degrees,10.2m/s
2020-11-02 14:00:00,998.7hPa,7.9celsius,,,100.0%,100.0%,36.7%,100.0%,5.4celsius,0.0%,0.6mm,83.5%,0.51,283.7degrees,14.3m/s
