Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-02 01:00:00,990.0hPa,9.5celsius,,,97.7%,17.2%,41.4%,96.9%,8.1celsius,0.0%,0.0mm,90.9%,0.01,278.1degrees,3.9m/s
2020-11-02 02:00:00,991.3hPa,9.2celsius,,,68.8%,3.1%,47.7%,51.6%,7.6celsius,0.0%,0.0mm,89.4%,0.01,264.8degrees,4.8m/s
2020-11-02 03:00:00,992.4hPa,8.6celsius,,,35.2%,0.0%,14.1%,32.0%,6.5celsius,0.0%,0.0mm,87.1%,0.01,256.6degrees,4.8m/s
2020-11-02 04:00:00,993.3hPa,8.1celsius,,,10.2%,0.0%,7.0%,6.2%,6.0celsius,0.0%,0.0mm,86.9%,0.01,240.7degrees,4.4m/s
2020-11-02 05:00:00,994.2hPa,7.8celsius,,,28.1%,0.0%,25.8%,17.2%,5.7celsius,0.0%,0.0mm,87.2%,0.01,221.7degrees,4.6m/s
2020-11-02 06:00:00,994.7hPa,8.4celsius,,,28.9%,0.0%,27.3%,14.1%,5.7celsius,0.0%,0.0mm,83.1%,0.01,226.8degrees,5.8m/s
2020-11-02 07:00:00,995.3hPa,8.6celsius,,,46.1%,0.0%,43.0%,11.7%,5.6celsius,0.0%,0.0mm,82.0%,0.01,233.2degrees,5.9m/s
2020-11-02 08:00:00,996.5hPa,8.6celsius,,,58.6%,0.0%,42.2%,43.0%,5.9celsius,0.0%,0.1mm,83.6%,0.11,241.1degrees,5.5m/s
2020-11-02 09:00:00,998.2hPa,9.0celsius,,,84.4%,0.8%,74.2%,52.3%,6.2celsius,0.0%,0.2mm,82.7%,0.31,251.9degrees,7.0m/s
2020-11-02 10:00:00,999.5hPa,9.2celsius,,,94.5%,10.2%,87.5%,71.9%,5.9celsius,0.0%,0.6mm,79.7%,0.61,253.3degrees,6.9m/s
2020-11-02 11:00:00,1001.3hPa,8.9celsius,,,95.3%,11.7%,89.8%,70.3%,5.8celsius,0.0%,0.3mm,81.5%,0.91,262.6degrees,8.7m/s
2020-11-02 12:00:00,1003.1hPa,8.7celsius,,,55.5%,13.3%,24.2%,50.8%,5.4celsius,0.0%,0.5mm,80.1%,1.01,264.7degrees,8.8m/s
2020-11-02 13:00:00,1004.6hPa,8.9celsius,,,53.9%,7.8%,14.1%,50.8%,5.3celsius,0.0%,0.7mm,78.0%,0.91,266.4degrees,8.6m/s
2020-11-02 14:00:00,1006.0hPa,8.6celsius,,,50.0%,17.2%,19.5%,43.0%,5.0celsius,0.0%,0.4mm,78.6%,0.71,269.5degrees,7.5m/s
2020-11-02 15:00:00,1007.5hPa,8.2celsius,,,57.8%,14.1%,41.4%,37.5%,5.0celsius,0.0%,0.1mm,80.8%,0.41,263.2degrees,7.1m/s
2020-11-02 16:00:00,1008.5hPa,8.2celsius,,,15.6%,0.8%,14.8%,0.0%,4.5celsius,0.0%,0.0mm,78.1%,0.11,273.3degrees,5.7m/s
2020-11-02 17:00:00,1009.6hPa,7.2celsius,,,3.1%,0.0%,3.1%,0.0%,3.7celsius,0.0%,0.0mm,79.0%,0.01,264.1degrees,4.1m/s
2020-11-02 18:00:00,1010.6hPa,6.1celsius,,,3.1%,0.0%,0.8%,2.3%,3.1celsius,0.0%,0.0mm,81.6%,0.01,253.3degrees,2.7m/s
