Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-01 23:00:00,987.1hPa,8.7celsius,,,100.0%,15.6%,100.0%,100.0%,7.5celsius,0.0%,0.2mm,92.4%,0.01,257.4degrees,2.8m/s
2020-11-02 00:00:00,987.7hPa,8.7celsius,,,100.0%,14.1%,88.3%,100.0%,7.3celsius,0.0%,0.1mm,91.6%,0.01,253.7degrees,2.9m/s
2020-11-02 01:00:00,988.6hPa,8.4celsius,,,99.2%,17.2%,35.9%,99.2%,6.6celsius,0.0%,0.0mm,88.5%,0.01,249.3degrees,4.1m/s
2020-11-02 02:00:00,989.4hPa,8.1celsius,,,70.3%,14.8%,21.1%,60.9%,6.1celsius,0.0%,0.0mm,86.5%,0.01,243.6degrees,4.5m/s
2020-11-02 03:00:00,990.2hPa,7.8celsius,,,100.0%,0.0%,98.4%,99.2%,6.0celsius,0.0%,0.1mm,87.9%,0.01,241.9degrees,5.2m/s
2020-11-02 04:00:00,990.9hPa,8.0celsius,,,99.2%,0.0%,85.2%,98.4%,6.3celsius,0.0%,0.1mm,88.9%,0.01,238.3degrees,5.5m/s
2020-11-02 05:00:00,991.7hPa,8.1celsius,,,71.1%,0.0%,18.8%,66.4%,6.2celsius,0.0%,0.2mm,87.9%,0.01,233.4degrees,5.0m/s
2020-11-02 06:00:00,992.1hPa,7.7celsius,,,52.3%,0.0%,45.3%,21.1%,6.1celsius,0.0%,0.0mm,89.1%,0.01,219.9degrees,5.2m/s
2020-11-02 07:00:00,992.6hPa,7.8celsius,,,89.8%,0.0%,88.3%,35.9%,5.9celsius,0.0%,0.1mm,87.2%,0.01,206.7degrees,5.2m/s
2020-11-02 08:00:00,993.2hPa,8.2celsius,,,99.2%,0.0%,99.2%,33.6%,6.2celsius,0.0%,0.1mm,87.4%,0.11,213.5degrees,6.0m/s
2020-11-02 09:00:00,994.2hPa,8.8celsius,,,85.9%,35.2%,66.4%,72.7%,6.9celsius,0.0%,0.2mm,88.5%,0.31,229.7degrees,6.5m/s
2020-11-02 10:00:00,995.7hPa,8.9celsius,,,93.0%,81.2%,32.0%,87.5%,6.8celsius,0.0%,0.6mm,87.1%,0.61,244.4degrees,6.4m/s
2020-11-02 11:00:00,997.5hPa,8.9celsius,,,97.7%,91.4%,23.4%,95.3%,6.4celsius,0.0%,0.7mm,84.8%,0.81,253.7degrees,6.6m/s
2020-11-02 12:00:00,998.8hPa,8.3celsius,,,99.2%,81.2%,35.9%,97.7%,6.1celsius,0.0%,0.4mm,86.1%,1.01,248.9degrees,6.3m/s
2020-11-02 13:00:00,999.8hPa,8.3celsius,,,100.0%,97.7%,90.6%,97.7%,5.8celsius,0.0%,1.0mm,84.4%,0.91,244.5degrees,7.0m/s
2020-11-02 14:00:00,1001.8hPa,6.8celsius,,,97.7%,50.8%,96.1%,95.3%,5.2celsius,0.0%,0.7mm,88.5%,0.61,255.2degrees,8.9m/s
2020-11-02 15:00:00,1003.7hPa,6.4celsius,,,99.2%,77.3%,20.3%,98.4%,4.1celsius,0.0%,0.2mm,85.3%,0.31,267.5degrees,8.3m/s
2020-11-02 16:00:00,1005.5hPa,6.6celsius,,,100.0%,59.4%,22.7%,100.0%,4.0celsius,0.0%,0.1mm,83.1%,0.11,261.8degrees,6.9m/s
2020-11-02 17:00:00,1006.8hPa,6.5celsius,,,96.1%,91.4%,18.8%,93.8%,3.6celsius,0.0%,0.0mm,82.0%,0.01,258.1degrees,6.6m/s
2020-11-02 18:00:00,1007.9hPa,6.3celsius,,,25.0%,0.8%,24.2%,5.5%,3.5celsius,0.0%,0.0mm,82.5%,0.01,252.9degrees,5.0m/s
2020-11-02 19:00:00,1008.8hPa,6.0celsius,,,23.4%,0.0%,23.4%,0.0%,2.4celsius,0.0%,0.0mm,78.5%,0.01,237.4degrees,4.7m/s
2020-11-02 20:00:00,1009.4hPa,5.9celsius,,,17.2%,0.0%,17.2%,3.9%,1.7celsius,0.0%,0.0mm,74.6%,0.01,231.4degrees,5.0m/s
2020-11-02 21:00:00,1009.7hPa,5.8celsius,,,23.4%,1.6%,22.7%,0.8%,1.3celsius,0.0%,0.0mm,73.2%,0.01,225.9degrees,5.2m/s
2020-11-02 22:00:00,1009.9hPa,5.7celsius,,,31.2%,0.0%,22.7%,27.3%,1.1celsius,0.0%,0.0mm,72.2%,0.01,216.6degrees,5.3m/s
2020-11-02 23:00:00,1009.8hPa,5.7celsius,,,35.9%,2.3%,18.0%,30.5%,0.8celsius,0.0%,0.0mm,70.8%,0.01,214.6degrees,5.7m/s
2020-11-03 00:00:00,1009.7hPa,5.7celsius,,,84.4%,71.1%,42.2%,48.4%,1.2celsius,0.0%,0.0mm,73.1%,0.01,218.8degrees,6.2m/s
2020-11-03 01:00:00,1009.5hPa,6.0celsius,,,97.7%,90.6%,80.5%,15.6%,2.6celsius,0.0%,0.0mm,79.1%,0.01,227.0degrees,7.3m/s
2020-11-03 02:00:00,1009.8hPa,6.6celsius,,,96.1%,89.1%,78.1%,5.5%,3.6celsius,0.0%,0.0mm,80.9%,0.01,242.8degrees,7.0m/s
2020-11-03 03:00:00,1010.9hPa,6.5celsius,,,92.2%,86.7%,51.6%,14.8%,3.4celsius,0.0%,0.0mm,81.0%,0.01,254.7degrees,6.2m/s
2020-11-03 04:00:00,1012.2hPa,6.4celsius,,,77.3%,63.3%,43.0%,29.7%,3.7celsius,0.0%,0.0mm,83.2%,0.01,260.4degrees,5.8m/s
2020-11-03 05:00:00,1013.5hPa,6.3celsius,,,90.6%,82.0%,22.7%,57.0%,3.7celsius,0.0%,0.0mm,83.7%,0.01,262.6degrees,5.4m/s
2020-11-03 06:00:00,1014.6hPa,6.1celsius,,,80.5%,66.4%,25.8%,41.4%,3.6celsius,0.0%,0.0mm,84.4%,0.01,257.9degrees,4.8m/s
2020-11-03 07:00:00,1015.5hPa,6.0celsius,,,68.8%,57.0%,22.7%,47.7%,3.7celsius,0.0%,0.0mm,85.5%,0.01,259.2degrees,4.9m/s
2020-11-03 08:00:00,1016.4hPa,5.9celsius,,,18.8%,0.0%,13.3%,8.6%,3.7celsius,0.0%,0.0mm,86.1%,0.11,256.2degrees,4.5m/s
2020-11-03 09:00:00,1017.2hPa,6.5celsius,,,21.9%,0.0%,18.0%,12.5%,3.9celsius,0.0%,0.0mm,82.9%,0.21,253.9degrees,4.6m/s
2020-11-03 10:00:00,1017.9hPa,7.4celsius,,,25.0%,0.0%,23.4%,3.9%,4.0celsius,0.0%,0.0mm,78.8%,0.51,253.0degrees,4.6m/s
2020-11-03 11:00:00,1018.5hPa,8.1celsius,,,33.6%,2.3%,25.8%,15.6%,3.9celsius,0.0%,0.1mm,74.3%,0.81,254.1degrees,5.1m/s
2020-11-03 12:00:00,1018.9hPa,8.4celsius,,,32.0%,1.6%,30.5%,15.6%,3.8celsius,0.0%,0.1mm,72.7%,0.91,261.2degrees,5.6m/s
2020-11-03 13:00:00,1019.3hPa,8.9celsius,,,64.8%,10.2%,54.7%,32.8%,5.2celsius,0.0%,0.1mm,77.2%,0.81,266.0degrees,4.5m/s
2020-11-03 14:00:00,1019.9hPa,9.2celsius,,,64.8%,23.4%,48.4%,39.1%,5.0celsius,0.0%,0.2mm,74.5%,0.61,276.9degrees,4.2m/s
2020-11-03 15:00:00,1020.5hPa,8.7celsius,,,59.4%,32.8%,29.7%,40.6%,3.6celsius,0.0%,0.1mm,70.4%,0.31,280.5degrees,3.7m/s
2020-11-03 16:00:00,1021.3hPa,8.0celsius,,,58.6%,22.7%,39.8%,35.2%,3.4celsius,0.0%,0.0mm,72.3%,0.11,278.0degrees,3.2m/s
2020-11-03 17:00:00,1022.3hPa,6.9celsius,,,30.5%,6.2%,23.4%,10.9%,3.6celsius,0.0%,0.0mm,79.1%,0.01,269.9degrees,2.8m/s
2020-11-03 18:00:00,1023.4hPa,6.0celsius,,,22.7%,0.0%,21.1%,3.1%,4.0celsius,0.0%,0.0mm,86.9%,0.01,271.2degrees,2.9m/s
2020-11-03 19:00:00,1024.5hPa,5.6celsius,,,22.7%,0.0%,21.9%,1.6%,4.0celsius,0.0%,0.0mm,89.8%,0.01,278.2degrees,2.8m/s
2020-11-03 20:00:00,1025.6hPa,5.2celsius,,,10.9%,0.0%,10.9%,0.8%,3.8celsius,0.0%,0.0mm,91.6%,0.01,282.5degrees,2.5m/s
2020-11-03 21:00:00,1026.6hPa,4.4celsius,,,4.7%,0.0%,4.7%,0.0%,3.3celsius,0.0%,0.0mm,92.9%,0.01,281.2degrees,2.0m/s
2020-11-03 22:00:00,1027.6hPa,4.0celsius,,,0.8%,0.0%,0.8%,0.0%,2.9celsius,0.0%,0.0mm,93.2%,0.01,277.1degrees,2.1m/s
2020-11-03 23:00:00,1028.7hPa,3.7celsius,,,0.0%,0.0%,0.0%,0.0%,2.6celsius,0.0%,0.0mm,93.1%,0.01,278.1degrees,2.1m/s
2020-11-04 00:00:00,1029.3hPa,3.4celsius,,,0.0%,0.0%,0.0%,0.0%,2.3celsius,0.0%,0.0mm,92.8%,0.01,276.3degrees,2.0m/s
2020-11-04 01:00:00,1029.7hPa,3.0celsius,,,2.3%,0.0%,2.3%,0.0%,1.9celsius,0.0%,0.0mm,92.6%,0.01,276.6degrees,1.8m/s
2020-11-04 02:00:00,1030.6hPa,3.4celsius,,,9.4%,0.0%,9.4%,0.0%,2.1celsius,0.0%,0.0mm,91.7%,0.01,289.1degrees,2.2m/s
2020-11-04 03:00:00,1031.0hPa,2.7celsius,,,7.0%,0.0%,7.0%,1.6%,1.6celsius,0.0%,0.0mm,92.5%,0.01,275.0degrees,1.8m/s
2020-11-04 04:00:00,1031.1hPa,2.6celsius,,,20.3%,12.5%,7.8%,3.9%,1.5celsius,0.0%,0.0mm,92.6%,0.01,267.3degrees,1.7m/s
2020-11-04 05:00:00,1031.8hPa,2.5celsius,,,38.3%,0.0%,36.7%,6.2%,1.4celsius,0.0%,0.0mm,92.1%,0.01,279.9degrees,1.8m/s
2020-11-04 06:00:00,1032.5hPa,3.7celsius,,,69.5%,0.0%,68.8%,17.2%,2.3celsius,0.0%,0.0mm,90.3%,0.01,289.1degrees,2.3m/s
2020-11-04 07:00:00,1032.9hPa,4.6celsius,,,14.1%,0.0%,3.1%,14.1%,2.6celsius,0.0%,0.0mm,87.7%,0.01,286.1degrees,2.6m/s
2020-11-04 08:00:00,1033.8hPa,3.3celsius,,,16.4%,0.0%,1.6%,16.4%,1.8celsius,0.0%,0.0mm,89.9%,0.01,297.9degrees,1.9m/s
2020-11-04 09:00:00,1035.0hPa,5.5celsius,,,18.8%,0.0%,7.8%,15.6%,3.1celsius,0.0%,0.0mm,85.1%,0.21,304.3degrees,2.7m/s
2020-11-04 10:00:00,1035.6hPa,7.5celsius,,,12.5%,0.0%,0.0%,12.5%,4.2celsius,0.0%,0.0mm,79.0%,0.51,307.9degrees,3.3m/s
2020-11-04 11:00:00,1036.1hPa,9.0celsius,,,3.1%,0.0%,0.0%,3.1%,4.7celsius,0.0%,0.0mm,73.9%,0.81,312.9degrees,3.3m/s
2020-11-04 12:00:00,1036.4hPa,10.1celsius,10.7celsius,7.4celsius,0.8%,0.0%,0.0%,0.8%,4.6celsius,0.0%,0.0mm,69.0%,0.91,318.8degrees,3.1m/s
2020-11-04 18:00:00,1038.2hPa,7.3celsius,7.3celsius,3.2celsius,59.4%,0.0%,59.4%,0.0%,4.5celsius,,0.0mm,82.1%,,269.5degrees,1.4m/s
2020-11-05 00:00:00,1040.1hPa,3.2celsius,4.0celsius,2.9celsius,1.6%,0.0%,1.6%,0.0%,2.2celsius,,0.0mm,92.9%,,193.8degrees,1.3m/s
2020-11-05 06:00:00,1039.5hPa,3.4celsius,9.1celsius,3.2celsius,0.0%,0.0%,0.0%,0.0%,2.2celsius,,0.0mm,92.4%,,202.6degrees,2.0m/s
2020-11-05 12:00:00,1039.4hPa,9.2celsius,10.2celsius,6.6celsius,0.0%,0.0%,0.0%,0.0%,5.0celsius,,0.0mm,74.4%,,219.9degrees,1.2m/s
2020-11-05 18:00:00,1036.6hPa,6.4celsius,6.4celsius,2.8celsius,0.0%,0.0%,0.0%,0.0%,3.8celsius,,0.0mm,83.6%,,149.2degrees,0.9m/s
2020-11-06 00:00:00,1034.2hPa,2.9celsius,3.5celsius,1.6celsius,0.0%,0.0%,0.0%,0.0%,1.7celsius,,0.0mm,92.3%,,127.1degrees,1.8m/s
2020-11-06 06:00:00,1030.7hPa,1.8celsius,8.8celsius,1.8celsius,8.6%,0.0%,8.6%,0.0%,0.7celsius,,0.0mm,92.0%,,111.8degrees,2.5m/s
2020-11-06 12:00:00,1027.4hPa,8.9celsius,10.2celsius,6.1celsius,11.7%,0.0%,11.7%,0.0%,4.6celsius,,0.0mm,74.3%,,113.7degrees,3.1m/s
2020-11-06 18:00:00,1023.0hPa,6.0celsius,7.0celsius,5.1celsius,0.8%,0.0%,0.8%,0.0%,3.9celsius,,0.3mm,86.2%,,93.7degrees,2.7m/s
2020-11-07 00:00:00,1020.0hPa,7.0celsius,8.2celsius,6.8celsius,98.4%,98.4%,3.1%,18.0%,5.3celsius,,0.5mm,88.2%,,102.9degrees,2.3m/s
