Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-01 23:00:00,988.9hPa,15.1celsius,,,51.6%,25.8%,7.8%,35.2%,13.2celsius,0.0%,0.0mm,89.3%,0.01,219.7degrees,17.2m/s
2020-11-02 00:00:00,988.9hPa,15.0celsius,,,76.6%,10.9%,52.3%,68.8%,12.9celsius,0.0%,0.2mm,88.2%,0.01,224.8degrees,17.4m/s
2020-11-02 01:00:00,989.4hPa,14.5celsius,,,100.0%,0.0%,100.0%,82.8%,12.8celsius,0.0%,0.2mm,90.1%,0.01,230.7degrees,16.2m/s
2020-11-02 02:00:00,990.1hPa,13.3celsius,,,82.0%,0.0%,19.5%,80.5%,11.7celsius,0.0%,0.0mm,89.9%,0.01,256.6degrees,10.6m/s
2020-11-02 03:00:00,992.1hPa,11.6celsius,,,87.5%,7.0%,3.9%,86.7%,8.8celsius,0.0%,0.0mm,82.7%,0.01,277.4degrees,10.9m/s
2020-11-02 04:00:00,993.8hPa,11.5celsius,,,35.2%,0.8%,32.8%,6.2%,8.2celsius,0.0%,0.0mm,80.4%,0.01,262.9degrees,12.5m/s
2020-11-02 05:00:00,995.2hPa,11.2celsius,,,49.2%,0.0%,11.7%,45.3%,7.3celsius,0.0%,0.0mm,77.2%,0.01,259.0degrees,13.3m/s
2020-11-02 06:00:00,996.2hPa,11.4celsius,,,31.2%,0.0%,21.1%,21.9%,6.8celsius,0.0%,0.1mm,73.5%,0.01,253.6degrees,14.3m/s
2020-11-02 07:00:00,997.2hPa,11.2celsius,,,48.4%,0.0%,16.4%,46.9%,7.9celsius,0.0%,0.0mm,80.7%,0.01,244.4degrees,15.7m/s
2020-11-02 08:00:00,998.0hPa,11.8celsius,,,32.0%,0.0%,29.7%,13.3%,6.6celsius,0.0%,0.0mm,70.5%,0.11,246.8degrees,17.5m/s
2020-11-02 09:00:00,998.8hPa,11.3celsius,,,26.6%,0.0%,15.6%,18.0%,7.2celsius,0.0%,0.0mm,75.8%,0.31,251.5degrees,17.8m/s
2020-11-02 10:00:00,1000.0hPa,11.3celsius,,,17.2%,0.0%,15.6%,8.6%,7.0celsius,0.0%,0.0mm,74.9%,0.71,254.1degrees,17.9m/s
2020-11-02 11:00:00,1001.3hPa,11.2celsius,,,11.7%,0.0%,10.9%,1.6%,6.5celsius,0.0%,0.0mm,72.8%,1.01,252.4degrees,18.2m/s
2020-11-02 12:00:00,1002.8hPa,10.9celsius,,,18.8%,0.0%,14.8%,8.6%,6.6celsius,0.0%,0.1mm,75.0%,1.11,251.6degrees,18.4m/s
2020-11-02 13:00:00,1004.2hPa,10.7celsius,,,32.0%,0.0%,26.6%,14.1%,6.3celsius,0.0%,0.1mm,74.9%,1.01,255.7degrees,17.5m/s
2020-11-02 14:00:00,1005.8hPa,10.6celsius,,,46.1%,0.0%,37.5%,22.7%,5.1celsius,0.0%,0.1mm,68.4%,0.71,263.1degrees,16.7m/s
2020-11-02 15:00:00,1007.2hPa,10.4celsius,,,42.2%,0.0%,27.3%,32.0%,5.2celsius,0.0%,0.0mm,69.8%,0.41,262.3degrees,16.1m/s
2020-11-02 16:00:00,1008.7hPa,10.4celsius,,,10.9%,0.0%,5.5%,9.4%,4.7celsius,0.0%,0.0mm,67.6%,0.11,265.6degrees,15.4m/s
2020-11-02 17:00:00,1009.9hPa,10.4celsius,,,3.9%,0.0%,3.9%,0.0%,4.7celsius,0.0%,0.0mm,67.3%,0.01,264.9degrees,13.7m/s
