Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-01 23:00:00,987.1hPa,15.1celsius,,,100.0%,0.8%,100.0%,39.1%,13.4celsius,0.0%,0.2mm,89.9%,0.01,223.4degrees,13.4m/s
2020-11-02 00:00:00,987.2hPa,14.8celsius,,,100.0%,0.0%,100.0%,63.3%,13.0celsius,0.0%,0.2mm,89.8%,0.01,223.5degrees,12.3m/s
2020-11-02 01:00:00,987.8hPa,14.5celsius,,,100.0%,0.0%,100.0%,82.0%,12.7celsius,0.0%,0.1mm,89.7%,0.01,232.4degrees,11.6m/s
2020-11-02 02:00:00,989.2hPa,11.6celsius,,,99.2%,3.9%,96.9%,85.9%,9.9celsius,0.0%,0.0mm,88.3%,0.01,297.2degrees,5.0m/s
2020-11-02 03:00:00,990.7hPa,10.6celsius,,,93.8%,14.1%,26.6%,91.4%,8.2celsius,0.0%,0.0mm,85.3%,0.01,275.7degrees,5.3m/s
2020-11-02 04:00:00,992.5hPa,9.8celsius,,,24.2%,3.1%,18.0%,10.9%,6.9celsius,0.0%,0.0mm,83.1%,0.01,262.8degrees,5.5m/s
2020-11-02 05:00:00,994.0hPa,8.9celsius,,,28.1%,0.0%,10.2%,25.8%,6.3celsius,0.0%,0.0mm,83.7%,0.01,250.8degrees,5.7m/s
2020-11-02 06:00:00,994.9hPa,8.9celsius,,,7.8%,0.0%,1.6%,7.0%,6.1celsius,0.0%,0.0mm,83.2%,0.01,243.0degrees,6.1m/s
2020-11-02 07:00:00,995.8hPa,9.1celsius,,,7.0%,0.0%,6.2%,3.1%,5.8celsius,0.0%,0.0mm,79.6%,0.01,238.2degrees,7.2m/s
2020-11-02 08:00:00,996.3hPa,9.9celsius,,,7.8%,0.0%,3.9%,4.7%,5.2celsius,0.0%,0.0mm,72.7%,0.11,236.7degrees,8.5m/s
2020-11-02 09:00:00,997.0hPa,10.1celsius,,,7.8%,0.0%,1.6%,7.0%,5.8celsius,0.0%,0.0mm,75.4%,0.31,242.7degrees,8.8m/s
2020-11-02 10:00:00,998.0hPa,10.2celsius,,,17.2%,0.0%,0.8%,16.4%,5.9celsius,0.0%,0.0mm,74.8%,0.71,242.3degrees,8.9m/s
2020-11-02 11:00:00,999.0hPa,10.7celsius,,,52.3%,0.0%,51.6%,1.6%,5.4celsius,0.0%,0.0mm,69.4%,1.01,250.3degrees,10.7m/s
2020-11-02 12:00:00,1000.4hPa,10.7celsius,,,40.6%,0.0%,33.6%,25.0%,5.4celsius,0.0%,0.1mm,69.7%,1.11,249.3degrees,10.1m/s
2020-11-02 13:00:00,1001.7hPa,10.3celsius,,,37.5%,0.0%,32.8%,25.8%,4.7celsius,0.0%,0.0mm,68.0%,0.91,254.7degrees,10.0m/s
2020-11-02 14:00:00,1003.4hPa,9.9celsius,,,32.0%,0.0%,27.3%,22.7%,4.0celsius,0.0%,0.0mm,67.2%,0.61,257.7degrees,9.6m/s
2020-11-02 15:00:00,1005.1hPa,9.3celsius,,,30.5%,0.0%,21.1%,25.8%,3.6celsius,0.0%,0.0mm,67.5%,0.31,259.9degrees,9.4m/s
2020-11-02 16:00:00,1006.8hPa,8.8celsius,,,10.9%,0.0%,9.4%,3.1%,2.7celsius,0.0%,0.0mm,65.7%,0.11,262.1degrees,8.4m/s
2020-11-02 17:00:00,1008.4hPa,8.1celsius,,,15.6%,0.0%,11.7%,10.9%,2.1celsius,0.0%,0.0mm,65.7%,0.01,260.7degrees,7.3m/s
2020-11-02 18:00:00,1009.7hPa,7.8celsius,,,0.0%,0.0%,0.0%,0.0%,1.7celsius,0.0%,0.0mm,65.3%,0.01,258.5degrees,6.3m/s
2020-11-02 19:00:00,1010.9hPa,7.4celsius,,,1.6%,0.0%,1.6%,0.0%,1.3celsius,0.0%,0.0mm,65.5%,0.01,250.6degrees,5.7m/s
2020-11-02 20:00:00,1011.6hPa,7.3celsius,,,40.6%,0.0%,0.0%,40.6%,1.5celsius,0.0%,0.0mm,66.8%,0.01,249.6degrees,5.3m/s
2020-11-02 21:00:00,1012.1hPa,7.3celsius,,,99.2%,96.1%,0.0%,97.7%,1.6celsius,0.0%,0.0mm,66.8%,0.01,242.5degrees,5.3m/s
2020-11-02 22:00:00,1012.4hPa,7.7celsius,,,100.0%,96.9%,1.6%,100.0%,1.9celsius,0.0%,0.0mm,67.0%,0.01,240.8degrees,5.6m/s
2020-11-02 23:00:00,1012.5hPa,8.1celsius,,,99.2%,96.9%,0.0%,98.4%,1.9celsius,0.0%,0.0mm,65.1%,0.01,241.1degrees,5.9m/s
2020-11-03 00:00:00,1012.5hPa,7.9celsius,,,99.2%,85.9%,0.0%,99.2%,1.9celsius,0.0%,0.0mm,66.0%,0.01,243.3degrees,6.0m/s
2020-11-03 01:00:00,1012.6hPa,7.5celsius,,,93.8%,42.2%,0.0%,93.0%,2.1celsius,0.0%,0.0mm,68.3%,0.01,246.6degrees,6.1m/s
2020-11-03 02:00:00,1012.7hPa,7.1celsius,,,1.6%,1.6%,0.0%,0.0%,1.6celsius,0.0%,0.0mm,67.9%,0.01,247.3degrees,6.5m/s
2020-11-03 03:00:00,1012.9hPa,6.7celsius,,,19.5%,16.4%,0.0%,7.8%,1.3celsius,0.0%,0.0mm,68.5%,0.01,247.7degrees,7.3m/s
2020-11-03 04:00:00,1013.3hPa,6.5celsius,,,82.0%,79.7%,0.0%,24.2%,1.8celsius,0.0%,0.0mm,71.9%,0.01,255.1degrees,7.6m/s
2020-11-03 05:00:00,1014.2hPa,6.6celsius,,,94.5%,91.4%,33.6%,58.6%,2.3celsius,0.0%,0.0mm,74.2%,0.01,255.6degrees,7.2m/s
2020-11-03 06:00:00,1015.1hPa,6.7celsius,,,93.8%,90.6%,26.6%,56.2%,2.6celsius,0.0%,0.0mm,75.0%,0.01,263.9degrees,7.0m/s
2020-11-03 07:00:00,1016.0hPa,6.6celsius,,,78.9%,77.3%,0.8%,48.4%,2.7celsius,0.0%,0.0mm,76.5%,0.01,266.1degrees,6.6m/s
