Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-02 01:00:00,990.8hPa,9.9celsius,,,80.5%,9.4%,3.9%,79.7%,7.9celsius,0.0%,0.0mm,88.5%,0.01,271.2degrees,4.0m/s
2020-11-02 02:00:00,992.2hPa,9.1celsius,,,32.8%,19.5%,3.1%,17.2%,6.8celsius,0.0%,0.0mm,86.1%,0.01,259.2degrees,4.7m/s
2020-11-02 03:00:00,993.4hPa,8.2celsius,,,9.4%,0.0%,0.8%,9.4%,6.2celsius,0.0%,0.0mm,87.3%,0.01,251.7degrees,5.1m/s
2020-11-02 04:00:00,994.2hPa,8.0celsius,,,0.8%,0.0%,0.8%,0.0%,6.0celsius,0.0%,0.0mm,87.0%,0.01,242.7degrees,5.2m/s
2020-11-02 05:00:00,995.0hPa,8.5celsius,,,13.3%,0.0%,12.5%,1.6%,5.5celsius,0.0%,0.0mm,80.8%,0.01,237.8degrees,5.7m/s
2020-11-02 06:00:00,995.7hPa,9.0celsius,,,23.4%,0.0%,9.4%,21.1%,5.2celsius,0.0%,0.0mm,76.9%,0.01,241.2degrees,6.9m/s
2020-11-02 07:00:00,996.5hPa,8.8celsius,,,37.5%,0.0%,14.8%,32.8%,5.1celsius,0.0%,0.0mm,77.2%,0.01,244.0degrees,7.0m/s
2020-11-02 08:00:00,997.9hPa,8.7celsius,,,34.4%,0.0%,17.2%,30.5%,5.3celsius,0.0%,0.0mm,79.0%,0.11,250.7degrees,7.4m/s
2020-11-02 09:00:00,999.5hPa,9.2celsius,,,28.1%,0.0%,23.4%,16.4%,5.1celsius,0.0%,0.0mm,75.3%,0.31,255.9degrees,8.1m/s
2020-11-02 10:00:00,1001.0hPa,9.5celsius,,,22.7%,0.0%,13.3%,19.5%,4.9celsius,0.0%,0.0mm,72.5%,0.61,249.5degrees,7.6m/s
2020-11-02 11:00:00,1002.8hPa,9.6celsius,,,28.9%,0.8%,20.3%,20.3%,4.6celsius,0.0%,0.0mm,71.0%,0.91,259.4degrees,8.8m/s
