Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-02 01:00:00,990.6hPa,10.4celsius,,,85.9%,10.9%,7.8%,85.9%,8.4celsius,0.0%,0.0mm,87.7%,0.01,276.1degrees,4.4m/s
2020-11-02 02:00:00,992.0hPa,9.8celsius,,,32.8%,28.1%,2.3%,11.7%,7.2celsius,0.0%,0.0mm,85.0%,0.01,262.0degrees,5.5m/s
2020-11-02 03:00:00,993.3hPa,8.9celsius,,,10.9%,0.0%,3.1%,10.2%,6.5celsius,0.0%,0.0mm,85.2%,0.01,252.5degrees,5.7m/s
2020-11-02 04:00:00,994.3hPa,8.6celsius,,,4.7%,0.0%,4.7%,0.0%,6.3celsius,0.0%,0.0mm,85.3%,0.01,247.2degrees,5.9m/s
2020-11-02 05:00:00,995.1hPa,9.1celsius,,,5.5%,0.0%,3.9%,2.3%,6.0celsius,0.0%,0.0mm,81.0%,0.01,241.1degrees,6.5m/s
2020-11-02 06:00:00,995.7hPa,9.7celsius,,,3.9%,0.0%,3.1%,1.6%,5.7celsius,0.0%,0.0mm,76.2%,0.01,241.8degrees,7.9m/s
2020-11-02 07:00:00,996.5hPa,9.5celsius,,,25.8%,0.0%,7.8%,25.0%,5.4celsius,0.0%,0.0mm,75.8%,0.01,244.6degrees,8.5m/s
2020-11-02 08:00:00,997.7hPa,9.3celsius,,,18.0%,0.0%,0.0%,17.2%,5.5celsius,0.0%,0.0mm,77.3%,0.11,249.8degrees,8.6m/s
2020-11-02 09:00:00,999.4hPa,9.7celsius,,,5.5%,0.0%,2.3%,5.5%,5.4celsius,0.0%,0.0mm,75.0%,0.31,253.7degrees,9.3m/s
2020-11-02 10:00:00,1000.8hPa,10.0celsius,,,3.1%,0.0%,0.0%,2.3%,5.0celsius,0.0%,0.0mm,71.3%,0.61,249.8degrees,9.4m/s
2020-11-02 11:00:00,1002.6hPa,10.1celsius,,,28.1%,4.7%,18.8%,20.3%,4.8celsius,0.0%,0.0mm,69.9%,0.91,257.7degrees,10.0m/s
2020-11-02 12:00:00,1004.4hPa,9.9celsius,,,28.9%,0.0%,22.7%,13.3%,4.2celsius,0.0%,0.0mm,68.0%,1.11,260.7degrees,9.3m/s
2020-11-02 13:00:00,1005.8hPa,9.9celsius,,,38.3%,3.1%,13.3%,32.8%,3.3celsius,0.0%,0.0mm,64.2%,1.01,267.7degrees,8.6m/s
2020-11-02 14:00:00,1007.1hPa,9.9celsius,,,43.8%,1.6%,28.9%,34.4%,3.1celsius,0.0%,0.0mm,63.0%,0.71,265.6degrees,7.5m/s
2020-11-02 15:00:00,1008.4hPa,9.5celsius,,,9.4%,0.0%,7.0%,7.8%,3.3celsius,0.0%,0.0mm,65.7%,0.41,267.3degrees,7.4m/s
2020-11-02 16:00:00,1009.1hPa,9.3celsius,,,2.3%,0.0%,2.3%,0.0%,3.0celsius,0.0%,0.0mm,65.4%,0.11,263.2degrees,6.1m/s
2020-11-02 17:00:00,1010.3hPa,8.6celsius,,,0.0%,0.0%,0.0%,0.0%,2.2celsius,0.0%,0.0mm,64.6%,0.01,258.4degrees,5.1m/s
2020-11-02 18:00:00,1011.0hPa,7.9celsius,,,100.0%,100.0%,0.0%,100.0%,1.7celsius,0.0%,0.0mm,65.1%,0.01,258.2degrees,4.2m/s
2020-11-02 19:00:00,1011.8hPa,7.7celsius,,,100.0%,99.2%,0.0%,100.0%,1.6celsius,0.0%,0.0mm,64.9%,0.01,254.2degrees,4.2m/s
2020-11-02 20:00:00,1012.7hPa,7.4celsius,,,100.0%,97.7%,0.0%,100.0%,2.1celsius,0.0%,0.0mm,69.3%,0.01,248.4degrees,4.4m/s
2020-11-02 21:00:00,1013.1hPa,7.2celsius,,,100.0%,98.4%,0.8%,100.0%,2.9celsius,0.0%,0.0mm,74.6%,0.01,244.1degrees,4.3m/s
2020-11-02 22:00:00,1013.4hPa,7.0celsius,,,99.2%,90.6%,0.0%,97.7%,3.2celsius,0.0%,0.0mm,76.7%,0.01,253.2degrees,4.7m/s
2020-11-02 23:00:00,1013.7hPa,6.9celsius,,,77.3%,41.4%,0.0%,73.4%,2.7celsius,0.0%,0.0mm,74.7%,0.01,251.0degrees,4.9m/s
2020-11-03 00:00:00,1014.0hPa,6.7celsius,,,21.1%,16.4%,0.0%,18.0%,1.8celsius,0.0%,0.0mm,71.2%,0.01,256.3degrees,4.9m/s
