Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-01 23:00:00,989.0hPa,10.8celsius,,,99.2%,1.6%,98.4%,64.1%,8.9celsius,0.0%,0.0mm,87.8%,0.01,301.1degrees,8.0m/s
2020-11-02 00:00:00,990.5hPa,10.2celsius,,,44.5%,5.5%,10.2%,41.4%,7.6celsius,0.0%,0.0mm,84.7%,0.01,288.5degrees,7.2m/s
2020-11-02 01:00:00,992.2hPa,10.2celsius,,,97.7%,10.9%,96.9%,3.9%,7.2celsius,0.0%,0.0mm,82.2%,0.01,277.6degrees,8.6m/s
2020-11-02 02:00:00,993.3hPa,10.4celsius,,,64.8%,1.6%,61.7%,39.8%,6.5celsius,0.0%,0.0mm,77.4%,0.01,270.2degrees,10.6m/s
2020-11-02 03:00:00,994.2hPa,10.2celsius,,,47.7%,0.0%,25.0%,42.2%,7.2celsius,0.0%,0.0mm,82.4%,0.01,264.6degrees,11.4m/s
2020-11-02 04:00:00,995.0hPa,11.1celsius,,,28.1%,0.0%,20.3%,21.9%,5.5celsius,0.0%,0.0mm,68.1%,0.01,257.6degrees,12.5m/s
2020-11-02 05:00:00,995.7hPa,11.1celsius,,,32.0%,0.0%,17.2%,28.9%,5.7celsius,0.0%,0.3mm,69.1%,0.01,255.6degrees,13.7m/s
2020-11-02 06:00:00,996.5hPa,10.3celsius,,,58.6%,0.0%,51.6%,39.1%,6.6celsius,0.0%,1.0mm,78.4%,0.01,257.6degrees,15.0m/s
2020-11-02 07:00:00,997.7hPa,9.9celsius,,,52.3%,0.0%,34.4%,38.3%,7.3celsius,0.0%,0.1mm,84.8%,0.01,263.7degrees,14.9m/s
2020-11-02 08:00:00,999.3hPa,10.1celsius,,,50.0%,0.0%,23.4%,45.3%,6.2celsius,0.0%,0.1mm,77.3%,0.11,266.9degrees,15.8m/s
2020-11-02 09:00:00,1001.0hPa,10.0celsius,,,51.6%,7.0%,24.2%,47.7%,6.0celsius,0.0%,0.8mm,77.1%,0.31,269.5degrees,15.4m/s
2020-11-02 10:00:00,1002.6hPa,9.5celsius,,,58.6%,0.8%,35.9%,43.8%,6.3celsius,0.0%,0.7mm,81.4%,0.61,272.1degrees,14.6m/s
2020-11-02 11:00:00,1004.5hPa,9.2celsius,,,49.2%,0.0%,35.9%,27.3%,6.1celsius,0.0%,0.2mm,81.3%,0.91,273.2degrees,14.8m/s
2020-11-02 12:00:00,1006.1hPa,9.1celsius,,,56.2%,0.0%,39.8%,29.7%,6.2celsius,0.0%,0.2mm,82.4%,1.11,272.2degrees,14.1m/s
2020-11-02 13:00:00,1007.5hPa,9.0celsius,,,35.2%,0.0%,21.9%,22.7%,4.9celsius,0.0%,0.1mm,75.2%,1.01,276.9degrees,15.0m/s
2020-11-02 14:00:00,1008.4hPa,9.6celsius,,,28.9%,0.0%,14.1%,23.4%,3.7celsius,0.0%,0.0mm,67.1%,0.71,277.0degrees,13.3m/s
2020-11-02 15:00:00,1009.4hPa,10.2celsius,,,28.9%,3.9%,14.8%,24.2%,2.5celsius,0.0%,0.0mm,59.3%,0.41,276.6degrees,12.6m/s
2020-11-02 16:00:00,1010.4hPa,10.0celsius,,,79.7%,0.0%,7.0%,79.7%,2.8celsius,0.0%,0.0mm,61.6%,0.11,276.2degrees,11.2m/s
2020-11-02 17:00:00,1011.2hPa,9.5celsius,,,99.2%,96.9%,19.5%,97.7%,2.9celsius,0.0%,0.0mm,63.8%,0.01,273.1degrees,10.1m/s
2020-11-02 18:00:00,1011.9hPa,9.5celsius,,,100.0%,98.4%,17.2%,100.0%,2.8celsius,0.0%,0.2mm,63.6%,0.01,273.6degrees,8.9m/s
2020-11-02 19:00:00,1012.8hPa,8.8celsius,,,100.0%,95.3%,18.0%,100.0%,3.2celsius,0.0%,0.7mm,68.5%,0.01,263.9degrees,8.1m/s
2020-11-02 20:00:00,1013.5hPa,8.3celsius,,,99.2%,98.4%,25.8%,96.9%,4.0celsius,0.0%,0.2mm,73.8%,0.01,263.7degrees,7.8m/s
2020-11-02 21:00:00,1013.6hPa,8.8celsius,,,93.0%,79.7%,46.1%,88.3%,4.6celsius,0.0%,0.1mm,74.8%,0.01,264.4degrees,9.3m/s
2020-11-02 22:00:00,1013.9hPa,9.2celsius,,,62.5%,35.2%,16.4%,56.2%,2.3celsius,0.0%,0.0mm,62.6%,0.01,276.9degrees,9.7m/s
2020-11-02 23:00:00,1014.4hPa,9.2celsius,,,27.3%,0.0%,25.0%,18.8%,2.5celsius,0.0%,0.0mm,63.4%,0.01,278.9degrees,10.8m/s
2020-11-03 00:00:00,1014.9hPa,8.7celsius,,,69.5%,57.0%,12.5%,40.6%,4.1celsius,0.0%,0.0mm,72.7%,0.01,277.5degrees,11.5m/s
2020-11-03 01:00:00,1015.3hPa,8.7celsius,,,56.2%,44.5%,21.9%,20.3%,5.0celsius,0.0%,0.0mm,76.7%,0.01,273.3degrees,11.6m/s
2020-11-03 02:00:00,1016.1hPa,8.2celsius,,,72.7%,57.0%,40.6%,20.3%,4.8celsius,0.0%,0.2mm,78.5%,0.01,280.4degrees,11.3m/s
2020-11-03 03:00:00,1016.8hPa,8.2celsius,,,59.4%,44.5%,21.9%,25.8%,4.8celsius,0.0%,0.1mm,78.1%,0.01,283.8degrees,11.1m/s
2020-11-03 04:00:00,1017.4hPa,8.4celsius,,,43.0%,0.8%,33.6%,28.9%,4.3celsius,0.0%,0.2mm,75.4%,0.01,285.4degrees,10.3m/s
2020-11-03 05:00:00,1018.3hPa,8.0celsius,,,39.8%,0.8%,26.6%,32.8%,4.8celsius,0.0%,0.1mm,79.2%,0.01,282.0degrees,10.3m/s
2020-11-03 06:00:00,1019.1hPa,7.7celsius,,,38.3%,0.8%,21.1%,31.2%,4.5celsius,0.0%,0.0mm,79.8%,0.01,287.6degrees,8.8m/s
2020-11-03 07:00:00,1019.5hPa,8.1celsius,,,34.4%,0.0%,32.0%,14.8%,3.8celsius,0.0%,0.0mm,74.0%,0.01,293.0degrees,9.1m/s
2020-11-03 08:00:00,1020.3hPa,8.1celsius,,,51.6%,0.0%,38.3%,28.9%,4.3celsius,0.0%,0.0mm,76.7%,0.11,285.5degrees,8.9m/s
2020-11-03 09:00:00,1021.0hPa,8.8celsius,,,28.1%,0.0%,15.6%,22.7%,4.6celsius,0.0%,0.0mm,74.6%,0.31,283.3degrees,9.0m/s
2020-11-03 10:00:00,1021.7hPa,9.1celsius,,,33.6%,0.0%,28.1%,17.2%,3.7celsius,0.0%,0.0mm,69.1%,0.61,289.9degrees,8.6m/s
2020-11-03 11:00:00,1022.3hPa,9.1celsius,,,46.9%,1.6%,34.4%,25.0%,4.2celsius,0.0%,0.1mm,71.4%,0.91,288.6degrees,9.1m/s
2020-11-03 12:00:00,1022.9hPa,9.0celsius,,,46.1%,0.0%,21.1%,39.1%,4.9celsius,0.0%,0.0mm,74.7%,1.11,289.5degrees,8.9m/s
2020-11-03 13:00:00,1023.0hPa,9.4celsius,,,35.9%,0.0%,28.1%,25.0%,4.1celsius,0.0%,0.0mm,69.5%,1.01,291.8degrees,8.6m/s
2020-11-03 14:00:00,1023.3hPa,9.5celsius,,,53.1%,0.0%,25.8%,49.2%,4.2celsius,0.0%,0.0mm,70.0%,0.71,297.6degrees,7.7m/s
2020-11-03 15:00:00,1023.8hPa,9.3celsius,,,48.4%,0.0%,24.2%,38.3%,4.8celsius,0.0%,0.0mm,72.9%,0.41,302.4degrees,7.3m/s
2020-11-03 16:00:00,1024.2hPa,9.1celsius,,,59.4%,0.0%,33.6%,50.8%,4.6celsius,0.0%,0.0mm,73.5%,0.11,300.3degrees,6.8m/s
