Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-01 23:00:00,990.9hPa,10.8celsius,,,100.0%,8.6%,100.0%,100.0%,7.5celsius,0.0%,0.0mm,80.7%,0.01,294.1degrees,9.8m/s
2020-11-02 00:00:00,992.3hPa,10.9celsius,,,99.2%,4.7%,99.2%,6.2%,6.4celsius,0.0%,0.0mm,74.0%,0.01,278.0degrees,12.1m/s
2020-11-02 01:00:00,993.5hPa,11.1celsius,,,65.6%,3.1%,62.5%,28.1%,6.5celsius,0.0%,0.0mm,73.5%,0.01,270.4degrees,13.4m/s
2020-11-02 02:00:00,994.5hPa,10.9celsius,,,51.6%,0.0%,27.3%,45.3%,6.8celsius,0.0%,0.0mm,76.1%,0.01,263.5degrees,14.2m/s
2020-11-02 03:00:00,995.0hPa,11.4celsius,,,32.8%,0.0%,25.0%,27.3%,6.3celsius,0.0%,0.1mm,70.6%,0.01,256.2degrees,15.9m/s
2020-11-02 04:00:00,995.7hPa,11.7celsius,,,35.2%,0.0%,31.2%,16.4%,5.5celsius,0.0%,0.0mm,65.3%,0.01,256.4degrees,17.1m/s
2020-11-02 05:00:00,996.7hPa,10.9celsius,,,50.8%,0.0%,39.1%,28.1%,6.7celsius,0.0%,0.2mm,76.1%,0.01,259.6degrees,18.8m/s
2020-11-02 06:00:00,998.0hPa,10.6celsius,,,59.4%,0.0%,32.0%,53.9%,6.9celsius,0.0%,0.2mm,78.3%,0.01,268.3degrees,19.6m/s
2020-11-02 07:00:00,999.8hPa,10.5celsius,,,64.8%,0.0%,12.5%,62.5%,7.0celsius,0.0%,0.2mm,79.3%,0.01,268.2degrees,17.6m/s
2020-11-02 08:00:00,1001.5hPa,10.2celsius,,,45.3%,0.0%,20.3%,39.8%,6.6celsius,0.0%,0.3mm,79.1%,0.01,270.7degrees,17.0m/s
2020-11-02 09:00:00,1003.2hPa,10.0celsius,,,49.2%,0.0%,18.8%,44.5%,6.3celsius,0.0%,0.2mm,78.8%,0.31,272.9degrees,17.3m/s
2020-11-02 10:00:00,1004.8hPa,9.6celsius,,,38.3%,0.0%,21.1%,34.4%,6.0celsius,0.0%,0.1mm,78.4%,0.61,276.5degrees,17.7m/s
2020-11-02 11:00:00,1006.6hPa,10.2celsius,,,24.2%,0.0%,19.5%,18.8%,4.2celsius,0.0%,0.0mm,66.5%,0.91,279.1degrees,17.5m/s
