Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-04 20:00:00,1039.7hPa,10.6celsius,,,39.1%,27.3%,7.8%,13.3%,6.5celsius,0.0%,0.0mm,76.1%,0.01,264.6degrees,2.4m/s
2020-11-04 21:00:00,1040.0hPa,10.7celsius,,,55.5%,46.9%,21.9%,5.5%,6.9celsius,0.0%,0.0mm,77.7%,0.01,260.3degrees,3.0m/s
2020-11-04 22:00:00,1040.2hPa,10.8celsius,,,34.4%,17.2%,21.9%,3.9%,7.2celsius,0.0%,0.0mm,78.6%,0.01,252.1degrees,3.6m/s
2020-11-04 23:00:00,1040.4hPa,10.8celsius,,,53.9%,0.0%,50.0%,11.7%,7.3celsius,0.0%,0.0mm,79.1%,0.01,247.4degrees,3.9m/s
2020-11-05 00:00:00,1040.5hPa,10.8celsius,,,81.2%,0.8%,76.6%,25.8%,7.4celsius,0.0%,0.0mm,79.5%,0.01,238.9degrees,4.0m/s
2020-11-05 01:00:00,1040.2hPa,10.9celsius,,,75.8%,0.8%,36.7%,67.2%,7.6celsius,0.0%,0.0mm,80.0%,0.01,238.4degrees,4.1m/s
2020-11-05 02:00:00,1039.8hPa,11.0celsius,,,75.0%,15.6%,35.2%,60.2%,7.9celsius,0.0%,0.0mm,81.6%,0.01,239.2degrees,4.3m/s
2020-11-05 03:00:00,1039.5hPa,11.0celsius,,,71.9%,19.5%,62.5%,8.6%,8.1celsius,0.0%,0.0mm,82.4%,0.01,253.2degrees,4.6m/s
2020-11-05 04:00:00,1039.3hPa,11.0celsius,,,82.8%,0.0%,82.8%,3.1%,8.4celsius,0.0%,0.0mm,84.5%,0.01,264.1degrees,4.3m/s
2020-11-05 05:00:00,1039.2hPa,11.0celsius,,,49.2%,0.0%,49.2%,0.8%,8.7celsius,0.0%,0.0mm,85.7%,0.01,266.9degrees,3.9m/s
2020-11-05 06:00:00,1038.9hPa,10.9celsius,,,29.7%,0.0%,29.7%,0.0%,8.8celsius,0.0%,0.0mm,86.8%,0.01,269.1degrees,3.6m/s
2020-11-05 07:00:00,1038.8hPa,10.9celsius,,,32.8%,0.0%,32.0%,0.8%,8.8celsius,0.0%,0.0mm,86.8%,0.01,276.1degrees,3.3m/s
2020-11-05 08:00:00,1038.7hPa,10.9celsius,,,21.9%,0.0%,21.9%,0.0%,8.8celsius,0.0%,0.0mm,86.8%,0.01,267.7degrees,2.7m/s
2020-11-05 09:00:00,1038.6hPa,11.0celsius,,,24.2%,0.0%,24.2%,0.0%,8.7celsius,0.0%,0.0mm,86.0%,0.21,253.6degrees,2.4m/s
2020-11-05 10:00:00,1038.7hPa,11.2celsius,,,34.4%,0.0%,34.4%,0.0%,8.6celsius,0.0%,0.0mm,84.1%,0.61,227.3degrees,2.7m/s
2020-11-05 11:00:00,1038.7hPa,11.2celsius,,,36.7%,0.0%,36.7%,0.0%,8.5celsius,0.0%,0.0mm,83.7%,0.91,218.6degrees,3.3m/s
2020-11-05 12:00:00,1038.6hPa,11.1celsius,,,35.9%,0.0%,35.9%,0.0%,8.5celsius,0.0%,0.0mm,83.9%,1.11,215.4degrees,4.0m/s
2020-11-05 13:00:00,1038.3hPa,11.0celsius,,,39.8%,0.0%,39.1%,0.0%,8.4celsius,0.0%,0.0mm,84.3%,1.01,215.8degrees,4.7m/s
