Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-02 01:00:00,986.3hPa,9.1celsius,,,100.0%,27.3%,10.2%,100.0%,7.8celsius,0.0%,0.9mm,92.0%,0.01,246.9degrees,8.8m/s
2020-11-02 02:00:00,986.7hPa,9.3celsius,,,100.0%,27.3%,27.3%,100.0%,7.7celsius,0.0%,0.7mm,90.2%,0.01,246.3degrees,8.2m/s
2020-11-02 03:00:00,987.2hPa,9.1celsius,,,100.0%,2.3%,33.6%,100.0%,7.3celsius,0.0%,0.7mm,88.6%,0.01,248.7degrees,8.2m/s
2020-11-02 04:00:00,987.4hPa,9.3celsius,,,98.4%,11.7%,22.7%,97.7%,7.4celsius,0.0%,1.3mm,88.6%,0.01,250.0degrees,5.8m/s
2020-11-02 05:00:00,988.0hPa,9.1celsius,,,98.4%,72.7%,19.5%,98.4%,7.4celsius,0.0%,1.4mm,89.7%,0.01,250.4degrees,4.1m/s
2020-11-02 06:00:00,988.8hPa,8.9celsius,,,97.7%,93.8%,9.4%,97.7%,7.2celsius,0.0%,1.2mm,89.8%,0.01,290.5degrees,3.4m/s
2020-11-02 07:00:00,990.1hPa,8.9celsius,,,100.0%,99.2%,15.6%,99.2%,6.8celsius,0.0%,0.3mm,87.1%,0.01,324.3degrees,3.8m/s
2020-11-02 08:00:00,991.7hPa,9.1celsius,,,98.4%,96.9%,10.9%,79.7%,6.6celsius,0.0%,0.7mm,84.9%,0.01,302.7degrees,4.7m/s
2020-11-02 09:00:00,993.4hPa,9.5celsius,,,96.1%,93.0%,27.3%,80.5%,6.6celsius,0.0%,1.4mm,82.5%,0.21,284.0degrees,5.9m/s
2020-11-02 10:00:00,995.0hPa,8.9celsius,,,98.4%,96.9%,30.5%,89.1%,6.0celsius,0.0%,0.1mm,82.2%,0.51,291.0degrees,6.7m/s
2020-11-02 11:00:00,996.2hPa,9.2celsius,,,99.2%,98.4%,22.7%,91.4%,6.6celsius,0.0%,1.9mm,84.0%,0.71,275.0degrees,6.3m/s
2020-11-02 12:00:00,997.8hPa,8.7celsius,,,100.0%,99.2%,46.1%,99.2%,5.9celsius,0.0%,1.4mm,82.6%,0.91,275.5degrees,10.1m/s
2020-11-02 13:00:00,999.0hPa,8.1celsius,,,100.0%,100.0%,21.1%,100.0%,5.6celsius,0.0%,1.4mm,84.0%,0.81,279.3degrees,10.5m/s
2020-11-02 14:00:00,1000.8hPa,7.6celsius,,,100.0%,100.0%,40.6%,100.0%,5.2celsius,0.0%,0.6mm,83.8%,0.61,281.3degrees,12.2m/s
2020-11-02 15:00:00,1002.2hPa,8.2celsius,,,100.0%,100.0%,21.9%,100.0%,4.4celsius,0.0%,0.1mm,76.2%,0.31,271.9degrees,10.9m/s
2020-11-02 16:00:00,1003.2hPa,7.8celsius,,,100.0%,100.0%,15.6%,80.5%,3.7celsius,0.0%,0.0mm,74.9%,0.11,266.5degrees,10.7m/s
2020-11-02 17:00:00,1004.0hPa,7.8celsius,,,60.2%,50.8%,23.4%,8.6%,3.5celsius,0.0%,0.1mm,74.4%,0.01,257.7degrees,9.6m/s
2020-11-02 18:00:00,1004.9hPa,7.2celsius,,,50.8%,21.1%,10.9%,46.1%,3.4celsius,0.0%,0.0mm,76.6%,0.01,254.2degrees,9.6m/s
2020-11-02 19:00:00,1005.1hPa,7.8celsius,,,48.4%,39.8%,7.8%,20.3%,3.6celsius,0.0%,0.2mm,74.2%,0.01,240.4degrees,9.4m/s
2020-11-02 20:00:00,1005.3hPa,7.3celsius,,,96.1%,89.8%,9.4%,93.8%,2.9celsius,0.0%,0.4mm,73.7%,0.01,239.8degrees,11.2m/s
2020-11-02 21:00:00,1004.6hPa,7.3celsius,,,93.0%,89.8%,26.6%,52.3%,4.7celsius,0.0%,1.4mm,82.8%,0.01,220.2degrees,10.2m/s
2020-11-02 22:00:00,1003.9hPa,7.6celsius,,,85.2%,75.8%,58.6%,7.8%,5.3celsius,0.0%,1.0mm,84.5%,0.01,228.8degrees,9.9m/s
2020-11-02 23:00:00,1004.2hPa,8.4celsius,,,60.9%,30.5%,43.8%,28.9%,4.9celsius,0.0%,0.4mm,78.1%,0.01,282.9degrees,8.0m/s
