Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-01 23:00:00,986.3hPa,7.5celsius,,,100.0%,0.0%,57.0%,100.0%,6.1celsius,0.0%,0.4mm,90.5%,0.01,224.7degrees,3.7m/s
2020-11-02 00:00:00,986.8hPa,7.5celsius,,,98.4%,0.0%,23.4%,98.4%,6.3celsius,0.0%,0.2mm,91.8%,0.01,224.6degrees,4.0m/s
2020-11-02 01:00:00,987.6hPa,7.6celsius,,,98.4%,0.0%,26.6%,97.7%,6.5celsius,0.0%,0.4mm,92.7%,0.01,229.8degrees,4.0m/s
2020-11-02 02:00:00,988.1hPa,7.6celsius,,,100.0%,0.0%,34.4%,99.2%,6.4celsius,0.0%,0.4mm,91.3%,0.01,238.3degrees,4.1m/s
2020-11-02 03:00:00,988.7hPa,7.7celsius,,,100.0%,0.0%,23.4%,100.0%,6.3celsius,0.0%,0.3mm,90.7%,0.01,237.0degrees,4.4m/s
2020-11-02 04:00:00,989.2hPa,7.6celsius,,,99.2%,0.0%,14.1%,99.2%,6.2celsius,0.0%,0.2mm,90.7%,0.01,228.1degrees,4.2m/s
2020-11-02 05:00:00,989.5hPa,7.7celsius,,,96.9%,0.0%,22.7%,96.1%,6.2celsius,0.0%,0.1mm,89.9%,0.01,218.0degrees,4.2m/s
2020-11-02 06:00:00,990.0hPa,7.6celsius,,,92.2%,0.0%,50.0%,88.3%,6.3celsius,0.0%,0.5mm,91.2%,0.01,212.9degrees,3.2m/s
2020-11-02 07:00:00,990.7hPa,7.5celsius,,,96.1%,0.0%,44.5%,94.5%,6.5celsius,0.0%,0.2mm,92.7%,0.01,226.6degrees,2.6m/s
2020-11-02 08:00:00,992.0hPa,7.2celsius,,,98.4%,50.8%,33.6%,97.7%,6.3celsius,0.0%,0.0mm,93.5%,0.01,258.4degrees,2.6m/s
2020-11-02 09:00:00,993.5hPa,7.6celsius,,,88.3%,78.9%,15.6%,82.0%,6.4celsius,0.0%,0.0mm,92.0%,0.21,274.4degrees,3.5m/s
2020-11-02 10:00:00,994.9hPa,8.4celsius,,,88.3%,40.6%,17.2%,84.4%,6.7celsius,0.0%,0.5mm,89.5%,0.51,259.6degrees,3.3m/s
2020-11-02 11:00:00,996.3hPa,8.8celsius,,,97.7%,93.8%,20.3%,89.8%,6.1celsius,0.0%,0.2mm,83.3%,0.81,255.6degrees,4.9m/s
2020-11-02 12:00:00,997.4hPa,8.6celsius,,,97.7%,94.5%,24.2%,93.0%,6.2celsius,0.0%,0.9mm,84.6%,0.91,252.8degrees,4.4m/s
2020-11-02 13:00:00,998.4hPa,7.7celsius,,,100.0%,98.4%,46.1%,98.4%,6.0celsius,0.0%,1.2mm,88.6%,0.81,255.8degrees,5.5m/s
2020-11-02 14:00:00,1000.2hPa,6.7celsius,,,100.0%,97.7%,100.0%,100.0%,5.3celsius,0.0%,2.2mm,90.4%,0.61,265.3degrees,7.5m/s
2020-11-02 15:00:00,1002.5hPa,5.5celsius,,,100.0%,97.7%,75.0%,100.0%,4.2celsius,0.0%,0.5mm,91.5%,0.31,275.6degrees,7.5m/s
2020-11-02 16:00:00,1003.9hPa,6.2celsius,,,100.0%,98.4%,19.5%,100.0%,4.0celsius,0.0%,0.1mm,85.7%,0.11,263.0degrees,6.5m/s
2020-11-02 17:00:00,1005.1hPa,5.9celsius,,,100.0%,99.2%,21.9%,95.3%,3.7celsius,0.0%,0.0mm,85.5%,0.01,249.0degrees,5.2m/s
2020-11-02 18:00:00,1006.2hPa,5.2celsius,,,69.5%,67.2%,8.6%,7.0%,3.2celsius,0.0%,0.0mm,87.5%,0.01,248.3degrees,4.5m/s
2020-11-02 19:00:00,1007.0hPa,5.0celsius,,,26.6%,0.8%,22.7%,10.9%,2.5celsius,0.0%,0.0mm,84.9%,0.01,231.4degrees,4.3m/s
2020-11-02 20:00:00,1007.4hPa,5.0celsius,,,46.9%,21.1%,25.8%,33.6%,1.6celsius,0.0%,0.0mm,79.9%,0.01,225.9degrees,3.9m/s
2020-11-02 21:00:00,1007.3hPa,5.4celsius,,,91.4%,82.8%,38.3%,82.8%,1.4celsius,0.0%,0.0mm,75.9%,0.01,216.1degrees,4.8m/s
2020-11-02 22:00:00,1007.1hPa,5.8celsius,,,96.9%,92.2%,22.7%,93.8%,1.5celsius,0.0%,0.0mm,74.1%,0.01,213.0degrees,5.6m/s
2020-11-02 23:00:00,1006.9hPa,5.5celsius,,,93.8%,85.9%,65.6%,25.0%,2.8celsius,0.0%,0.1mm,83.4%,0.01,213.2degrees,5.8m/s
2020-11-03 00:00:00,1006.3hPa,5.8celsius,,,92.2%,78.9%,78.1%,8.6%,3.8celsius,0.0%,0.0mm,86.8%,0.01,219.8degrees,5.6m/s
2020-11-03 01:00:00,1007.1hPa,6.3celsius,,,45.3%,22.7%,27.3%,18.8%,4.0celsius,0.0%,0.0mm,85.1%,0.01,260.4degrees,5.1m/s
2020-11-03 02:00:00,1008.7hPa,5.9celsius,,,51.6%,38.3%,19.5%,28.1%,3.5celsius,0.0%,0.0mm,84.4%,0.01,267.8degrees,4.5m/s
2020-11-03 03:00:00,1010.1hPa,5.7celsius,,,94.5%,89.1%,49.2%,42.2%,3.3celsius,0.0%,0.0mm,85.0%,0.01,272.9degrees,5.0m/s
2020-11-03 04:00:00,1011.4hPa,6.1celsius,,,90.6%,85.2%,25.8%,57.0%,3.6celsius,0.0%,0.0mm,84.3%,0.01,279.3degrees,5.7m/s
