Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-01 23:00:00,985.9hPa,7.3celsius,,,100.0%,0.0%,3.1%,100.0%,6.0celsius,0.0%,0.3mm,90.8%,0.01,228.5degrees,3.7m/s
2020-11-02 00:00:00,986.5hPa,7.3celsius,,,97.7%,0.0%,36.7%,96.9%,6.2celsius,0.0%,0.3mm,92.3%,0.01,225.1degrees,4.0m/s
2020-11-02 01:00:00,987.2hPa,7.4celsius,,,99.2%,0.0%,42.2%,98.4%,6.3celsius,0.0%,0.4mm,93.0%,0.01,232.1degrees,4.4m/s
2020-11-02 02:00:00,987.8hPa,7.4celsius,,,100.0%,0.0%,46.1%,100.0%,6.0celsius,0.0%,0.3mm,90.1%,0.01,241.1degrees,4.8m/s
2020-11-02 03:00:00,988.3hPa,7.4celsius,,,100.0%,0.0%,25.0%,100.0%,6.1celsius,0.0%,0.2mm,91.1%,0.01,236.0degrees,4.6m/s
2020-11-02 04:00:00,988.8hPa,7.3celsius,,,100.0%,0.0%,14.8%,100.0%,6.0celsius,0.0%,0.1mm,90.7%,0.01,228.3degrees,4.5m/s
2020-11-02 05:00:00,989.3hPa,7.3celsius,,,99.2%,0.0%,14.1%,99.2%,5.9celsius,0.0%,0.1mm,90.7%,0.01,219.8degrees,3.8m/s
2020-11-02 06:00:00,989.8hPa,7.4celsius,,,92.2%,0.0%,54.7%,89.1%,5.8celsius,0.0%,0.3mm,89.6%,0.01,222.0degrees,3.6m/s
2020-11-02 07:00:00,990.6hPa,7.2celsius,,,98.4%,0.0%,63.3%,96.9%,6.2celsius,0.0%,0.3mm,93.1%,0.01,225.7degrees,2.9m/s
2020-11-02 08:00:00,991.7hPa,7.1celsius,,,99.2%,58.6%,32.8%,98.4%,6.1celsius,0.0%,0.1mm,93.0%,0.01,246.5degrees,2.6m/s
2020-11-02 09:00:00,993.1hPa,7.3celsius,,,93.8%,85.2%,12.5%,89.8%,6.2celsius,0.0%,0.0mm,92.5%,0.21,263.9degrees,3.2m/s
2020-11-02 10:00:00,994.4hPa,8.1celsius,,,87.5%,79.7%,13.3%,68.8%,6.7celsius,0.0%,0.0mm,91.2%,0.51,253.9degrees,3.3m/s
2020-11-02 11:00:00,995.7hPa,9.1celsius,,,71.1%,57.0%,22.7%,35.2%,6.8celsius,0.0%,0.5mm,86.0%,0.71,246.2degrees,4.1m/s
2020-11-02 12:00:00,996.8hPa,8.7celsius,,,98.4%,94.5%,35.9%,87.5%,5.6celsius,0.0%,0.6mm,80.2%,0.91,265.1degrees,4.9m/s
2020-11-02 13:00:00,997.9hPa,8.2celsius,,,98.4%,95.3%,23.4%,85.9%,5.5celsius,0.0%,0.7mm,83.0%,0.81,256.4degrees,6.0m/s
2020-11-02 14:00:00,999.1hPa,7.1celsius,,,100.0%,99.2%,69.5%,99.2%,5.4celsius,0.0%,1.7mm,87.9%,0.61,258.5degrees,6.7m/s
2020-11-02 15:00:00,1001.4hPa,5.8celsius,,,100.0%,98.4%,99.2%,100.0%,4.6celsius,0.0%,1.1mm,91.6%,0.31,263.7degrees,8.0m/s
2020-11-02 16:00:00,1003.0hPa,5.8celsius,,,100.0%,98.4%,26.6%,100.0%,4.2celsius,0.0%,0.2mm,89.7%,0.11,267.6degrees,6.3m/s
2020-11-02 17:00:00,1004.3hPa,5.8celsius,,,100.0%,99.2%,33.6%,100.0%,3.8celsius,0.0%,0.2mm,86.8%,0.01,256.9degrees,5.9m/s
2020-11-02 18:00:00,1005.7hPa,5.2celsius,,,100.0%,100.0%,34.4%,60.9%,3.3celsius,0.0%,0.0mm,88.5%,0.01,253.2degrees,6.2m/s
2020-11-02 19:00:00,1006.6hPa,4.9celsius,,,38.3%,0.0%,32.8%,15.6%,2.9celsius,0.0%,0.0mm,87.9%,0.01,240.0degrees,4.7m/s
2020-11-02 20:00:00,1007.1hPa,4.8celsius,,,52.3%,30.5%,21.9%,35.9%,2.1celsius,0.0%,0.0mm,83.1%,0.01,232.2degrees,4.3m/s
2020-11-02 21:00:00,1007.0hPa,4.6celsius,,,55.5%,30.5%,36.7%,28.9%,1.6celsius,0.0%,0.0mm,81.5%,0.01,203.8degrees,4.0m/s
2020-11-02 22:00:00,1006.8hPa,5.0celsius,,,96.9%,85.9%,21.1%,94.5%,1.4celsius,0.0%,0.0mm,78.8%,0.01,205.5degrees,4.8m/s
2020-11-02 23:00:00,1006.6hPa,5.1celsius,,,93.0%,88.3%,50.8%,19.5%,2.2celsius,0.0%,0.0mm,82.4%,0.01,208.0degrees,5.7m/s
2020-11-03 00:00:00,1005.9hPa,5.2celsius,,,84.4%,75.0%,66.4%,9.4%,3.0celsius,0.0%,0.0mm,86.3%,0.01,203.8degrees,5.4m/s
2020-11-03 01:00:00,1006.4hPa,5.7celsius,,,39.1%,0.0%,37.5%,4.7%,3.9celsius,0.0%,0.0mm,88.9%,0.01,243.0degrees,5.1m/s
2020-11-03 02:00:00,1008.0hPa,5.5celsius,,,20.3%,0.0%,18.0%,10.9%,3.6celsius,0.0%,0.0mm,88.1%,0.01,266.3degrees,4.7m/s
2020-11-03 03:00:00,1009.4hPa,5.0celsius,,,87.5%,79.7%,37.5%,39.1%,3.0celsius,0.0%,0.0mm,87.7%,0.01,262.4degrees,4.4m/s
2020-11-03 04:00:00,1010.6hPa,5.6celsius,,,87.5%,81.2%,26.6%,47.7%,3.4celsius,0.0%,0.0mm,86.1%,0.01,275.3degrees,5.1m/s
