Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-04 20:00:00,1039.1hPa,7.2celsius,,,85.9%,68.8%,8.6%,51.6%,5.0celsius,0.0%,0.0mm,85.1%,0.01,253.1degrees,1.8m/s
2020-11-04 21:00:00,1039.3hPa,7.3celsius,,,74.2%,16.4%,21.9%,64.1%,5.7celsius,0.0%,0.0mm,88.6%,0.01,241.4degrees,1.9m/s
2020-11-04 22:00:00,1039.6hPa,7.6celsius,,,32.8%,0.0%,32.0%,1.6%,6.3celsius,0.0%,0.0mm,91.2%,0.01,235.2degrees,2.1m/s
2020-11-04 23:00:00,1039.7hPa,7.6celsius,,,61.7%,0.0%,52.3%,24.2%,6.6celsius,0.0%,0.0mm,93.3%,0.01,236.5degrees,2.3m/s
2020-11-05 00:00:00,1039.9hPa,8.3celsius,,,100.0%,0.8%,82.0%,100.0%,7.3celsius,0.0%,0.0mm,93.8%,0.01,238.8degrees,2.5m/s
2020-11-05 01:00:00,1039.5hPa,8.6celsius,,,61.7%,8.6%,36.7%,36.7%,7.7celsius,0.0%,0.0mm,94.0%,0.01,237.4degrees,2.7m/s
2020-11-05 02:00:00,1039.3hPa,8.6celsius,,,61.7%,19.5%,38.3%,33.6%,7.8celsius,0.0%,0.0mm,94.4%,0.01,249.5degrees,2.9m/s
2020-11-05 03:00:00,1039.0hPa,8.6celsius,,,49.2%,0.0%,33.6%,36.7%,7.8celsius,0.0%,0.0mm,94.9%,0.01,260.3degrees,3.1m/s
2020-11-05 04:00:00,1038.7hPa,8.7celsius,,,33.6%,0.0%,28.1%,11.7%,7.9celsius,0.0%,0.0mm,95.2%,0.01,258.5degrees,2.9m/s
2020-11-05 05:00:00,1038.6hPa,8.5celsius,,,43.8%,3.1%,41.4%,1.6%,7.8celsius,0.0%,0.0mm,95.6%,0.01,257.0degrees,2.7m/s
2020-11-05 06:00:00,1038.5hPa,8.4celsius,,,45.3%,0.8%,43.0%,4.7%,7.7celsius,0.0%,0.0mm,95.4%,0.01,255.3degrees,2.4m/s
2020-11-05 07:00:00,1038.4hPa,8.4celsius,,,40.6%,0.0%,39.1%,3.1%,7.7celsius,0.0%,0.0mm,95.4%,0.01,248.5degrees,2.4m/s
2020-11-05 08:00:00,1038.4hPa,8.4celsius,,,32.8%,0.0%,32.0%,0.8%,7.6celsius,0.0%,0.0mm,95.2%,0.01,255.0degrees,2.4m/s
2020-11-05 09:00:00,1038.4hPa,9.1celsius,,,30.5%,0.0%,30.5%,0.0%,8.1celsius,0.0%,0.0mm,94.1%,0.21,254.5degrees,2.3m/s
2020-11-05 10:00:00,1038.3hPa,10.1celsius,,,35.9%,0.0%,35.9%,0.0%,8.5celsius,0.0%,0.0mm,90.6%,0.51,250.7degrees,2.4m/s
2020-11-05 11:00:00,1038.3hPa,10.7celsius,,,73.4%,0.0%,73.4%,0.0%,8.0celsius,0.0%,0.0mm,83.8%,0.81,245.5degrees,2.8m/s
2020-11-05 12:00:00,1038.3hPa,11.0celsius,,,79.7%,0.0%,79.7%,0.0%,7.8celsius,0.0%,0.0mm,81.1%,1.01,232.6degrees,3.0m/s
2020-11-05 13:00:00,1038.0hPa,11.1celsius,,,100.0%,0.0%,100.0%,1.6%,7.7celsius,0.0%,0.0mm,80.3%,0.91,229.2degrees,2.8m/s
2020-11-05 14:00:00,1037.7hPa,11.3celsius,,,100.0%,0.0%,100.0%,0.8%,7.7celsius,0.0%,0.0mm,78.5%,0.71,226.3degrees,2.6m/s
2020-11-05 15:00:00,1037.0hPa,11.1celsius,,,100.0%,0.0%,100.0%,5.5%,7.7celsius,0.0%,0.0mm,79.6%,0.31,231.1degrees,2.4m/s
2020-11-05 16:00:00,1036.5hPa,10.8celsius,,,100.0%,0.0%,100.0%,2.3%,7.9celsius,0.0%,0.0mm,83.0%,0.11,237.9degrees,2.1m/s
2020-11-05 17:00:00,1036.1hPa,10.0celsius,,,79.7%,0.0%,78.9%,0.8%,8.0celsius,0.0%,0.0mm,88.6%,0.01,240.8degrees,1.6m/s
2020-11-05 18:00:00,1035.6hPa,8.4celsius,,,25.0%,0.0%,25.0%,0.0%,7.6celsius,0.0%,0.0mm,94.7%,0.01,243.3degrees,1.4m/s
2020-11-05 19:00:00,1035.2hPa,7.2celsius,,,28.9%,6.2%,23.4%,0.0%,6.7celsius,0.0%,0.0mm,96.3%,0.01,233.0degrees,1.7m/s
2020-11-05 20:00:00,1034.8hPa,6.8celsius,,,18.0%,0.8%,16.4%,0.8%,6.5celsius,0.0%,0.0mm,97.9%,0.01,211.3degrees,1.7m/s
2020-11-05 21:00:00,1034.3hPa,5.9celsius,,,27.3%,0.8%,26.6%,0.8%,5.7celsius,22.7%,0.0mm,98.9%,0.01,189.6degrees,1.7m/s
2020-11-05 22:00:00,1033.9hPa,4.8celsius,,,36.7%,3.1%,35.2%,0.0%,4.7celsius,34.4%,0.0mm,99.3%,0.01,163.6degrees,1.7m/s
2020-11-05 23:00:00,1033.8hPa,4.4celsius,,,100.0%,8.6%,100.0%,0.0%,4.3celsius,100.0%,0.0mm,99.4%,0.01,139.6degrees,1.4m/s
2020-11-06 00:00:00,1033.4hPa,5.2celsius,,,100.0%,0.0%,100.0%,0.0%,5.0celsius,100.0%,0.0mm,99.0%,0.01,140.3degrees,1.3m/s
2020-11-06 01:00:00,1032.8hPa,5.6celsius,,,100.0%,0.0%,100.0%,0.0%,5.4celsius,100.0%,0.0mm,98.7%,0.01,137.6degrees,1.2m/s
2020-11-06 02:00:00,1032.0hPa,6.1celsius,,,100.0%,0.0%,100.0%,0.0%,5.8celsius,87.5%,0.0mm,98.3%,0.01,117.5degrees,1.2m/s
2020-11-06 03:00:00,1031.3hPa,6.0celsius,,,100.0%,0.0%,100.0%,0.0%,5.9celsius,100.0%,0.0mm,99.0%,0.01,109.6degrees,1.6m/s
2020-11-06 04:00:00,1030.6hPa,5.8celsius,,,100.0%,0.0%,100.0%,0.0%,5.6celsius,100.0%,0.0mm,98.9%,0.01,100.4degrees,1.6m/s
